review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
01_Bornscheuer_2012_Nature,B,[1],b0,K Buchholz V Kasche U T Bornscheuer Biocatalysts and Enzyme Technology 2 2012 Wiley-VCH,,Biocatalysts and Enzyme Technology,2012
01_Bornscheuer_2012_Nature,B,[2],b1,"Enzyme Catalysis in Organic Synthesis K Drauz Gro ¨ger 10.1002/9783527639861 H. & May, O. 2012 Wiley",10.1002/9783527639861,Enzyme Catalysis in Organic Synthesis,2012
01_Bornscheuer_2012_Nature,B,[3],b2,Hydrolases in Organic Synthesis Uwe T Bornscheuer Romas J Kazlauskas 10.1002/3527607544 2006 Wiley,10.1002/3527607544,Hydrolases in Organic Synthesis,2006
01_Bornscheuer_2012_Nature,B,[4],b3,A Liese K Seelbach C Wandrey Industrial Biotransformations 2nd edn Wiley-VCH 2006,,Industrial Biotransformations 2nd edn,2006
01_Bornscheuer_2012_Nature,B,[5],b4,Industrial biotechnology-the future of green chemistry? Green Chem S Wenda S Illner A Mell U Kragl 2011 13,,Industrial biotechnology-the future of green chemistry? Green Chem,2011
01_Bornscheuer_2012_Nature,B,6,b5,Durch Enzyme bewirkte asymmetrische Synthese L Rosenthaler Biochem. Z 14 1908,,Durch Enzyme bewirkte asymmetrische Synthese,1908
01_Bornscheuer_2012_Nature,B,7,b6,Biotransformations of steroids L Sedlaczek Crit. Rev. Biotechnol 7 1988,,Biotransformations of steroids,1988
01_Bornscheuer_2012_Nature,B,8,b7,Engineering an enzyme by site-directed mutagenesis to be resistant to chemical oxidation. D A Estell T P Graycar J A Wells 10.1016/s0021-9258(18)88811-1 Journal of Biological Chemistry Journal of Biological Chemistry 0021-9258 260 11 1985 Elsevier BV Engineering an enzyme by site-directed mutagenesis to be resistant to chemical oxidation,10.1016/s0021-9258(18)88811-1,Engineering an enzyme by site-directed mutagenesis to be resistant to chemical oxidation.,1985
01_Bornscheuer_2012_Nature,B,9,b8,Industrial scale production and application of immobilized glucose isomerase V J Jensen S Rugh Methods Enzymol 136 1987,,Industrial scale production and application of immobilized glucose isomerase,1987
01_Bornscheuer_2012_Nature,B,10,b9,Penicillin Acylase in the Industrial Production of β-Lactam Antibiotics Alle Bruggink Eric C Roos Erik De Vroom 10.1021/op9700643 Organic Process Research & Development Org. Process Res. Dev. 1083-6160 1520-586X 2 2 1998 American Chemical Society (ACS),10.1021/op9700643,Penicillin Acylase in the Industrial Production of β-Lactam Antibiotics,1998
01_Bornscheuer_2012_Nature,B,11,b10,The synthesis of chiral cyanohydrins by oxynitrilases H Griengl H Schwab M Fechter Trends Biotechnol 18 2000,,The synthesis of chiral cyanohydrins by oxynitrilases,2000
01_Bornscheuer_2012_Nature,B,12,b11,Industrial use of lipases to produce fatty acid esters G Hills Eur. J. Lipid Sci. Technol 105 2003,,Industrial use of lipases to produce fatty acid esters,2003
01_Bornscheuer_2012_Nature,B,13,b12,Production of acrylic acid and methacrylic acid using Rhodococcus rhodochrous J1 nitrilase Toru Nagasawa Tesuji Nakamura Hideaki Yamada 10.1007/bf00170051 Applied Microbiology and Biotechnology Appl Microbiol Biotechnol 0175-7598 1432-0614 34 3 1990 Springer Science and Business Media LLC,10.1007/bf00170051,Production of acrylic acid and methacrylic acid using Rhodococcus rhodochrous J1 nitrilase,1990
01_Bornscheuer_2012_Nature,B,14,b13,Directed evolution of metabolic pathways in microbial populations. I. Modification of the acid phosphatase pH optimum in S. cerevisiae J C Francis P E Hansche Genetics 70 1972,,Directed evolution of metabolic pathways in microbial populations. I. Modification of the acid phosphatase pH optimum in S. cerevisiae,1972
01_Bornscheuer_2012_Nature,B,15,b14,"Metabolic engineering for the microbial production of 1,3-propanediol C E Nakamura G M Whited Curr. Opin. Biotechnol 14 2003",,"Metabolic engineering for the microbial production of 1,3-propanediol",2003
01_Bornscheuer_2012_Nature,B,16,b15,Development of a Biocatalytic Process as an Alternative to the (−)-DIP-Cl-Mediated Asymmetric Reduction of a Key Intermediate of Montelukast Jack Liang James Lalonde Birthe Borup Vesna Mitchell Emily Mundorff Na Trinh D A Kochrekar Ramachandran Nair Cherat G Ganesh Pai 10.1021/op900272d Organic Process Research & Development Org. Process Res. Dev. 1083-6160 1520-586X 14 1 2010 American Chemical Society (ACS),10.1021/op900272d,Development of a Biocatalytic Process as an Alternative to the (−)-DIP-Cl-Mediated Asymmetric Reduction of a Key Intermediate of Montelukast,2010
