review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
02_Sheldon_2018_ChemRev,INTRODUCTION,1,b0,A future perspective on the role of bioprocesses for chemical production J M Woodley M Breuer D Mink 2013 91,,A future perspective on the role of bioprocesses for chemical production,2013
02_Sheldon_2018_ChemRev,INTRODUCTION,2,b1,Biotechnological production of amino acids and derivatives: current status and prospects Wolfgang Leuchtenberger Klaus Huthmacher Karlheinz Drauz 10.1007/s00253-005-0155-y Applied Microbiology and Biotechnology Appl Microbiol Biotechnol 0175-7598 1432-0614 69 1 2005 Springer Science and Business Media LLC,10.1007/s00253-005-0155-y,Biotechnological production of amino acids and derivatives: current status and prospects,2005
02_Sheldon_2018_ChemRev,INTRODUCTION,3,b2,Biobased organic acids production by metabolically engineered microorganisms Y Chen J Nielsen Curr. Opin. Biotechnol 37 2016,,Biobased organic acids production by metabolically engineered microorganisms,2016
02_Sheldon_2018_ChemRev,INTRODUCTION,4,b3,Top value platform chemicals: bio-based production of organic acids Judith Becker Anna Lange Jonathan Fabarius Christoph Wittmann 0000-0002-7952-985X 10.1016/j.copbio.2015.08.022 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 36 2015 Elsevier BV,10.1016/j.copbio.2015.08.022,Top value platform chemicals: bio-based production of organic acids,2015
02_Sheldon_2018_ChemRev,Chemical Reviews,5,b4,Microbial biocatalytic processes and their development J M Woodley Adv. Appl. Microbiol 60 2006,,Microbial biocatalytic processes and their development,2006
02_Sheldon_2018_ChemRev,Chemical Reviews,6,b5,Membrane transporter engineering in industrial biotechnology and whole cell biocatalysis Douglas B Kell Neil Swainston Pınar Pir Stephen G Oliver 10.1016/j.tibtech.2015.02.001 Trends in Biotechnology Trends in Biotechnology 0167-7799 33 4 2015 Elsevier BV,10.1016/j.tibtech.2015.02.001,Membrane transporter engineering in industrial biotechnology and whole cell biocatalysis,2015
02_Sheldon_2018_ChemRev,Chemical Reviews,7,b6,Identification and use of an alkane transporter plug-in for applications in biocatalysis and whole-cell biosensing of alkanes C Grant D Deszcz Y.-C Wei R J Martinez-Torres P Morris T Folliard R Sreenivasan J Ward P Dalby J M Woodley F Baganz Sci. Rep 4 5844 2015,,Identification and use of an alkane transporter plug-in for applications in biocatalysis and whole-cell biosensing of alkanes,2015
02_Sheldon_2018_ChemRev,Chemical Reviews,8,b7,Stabilizing biocatalysts Andreas S Bommarius Mariétou F Paye 10.1039/c3cs60137d Chemical Society Reviews Chem. Soc. Rev. 0306-0012 1460-4744 42 15 6534 2013 Royal Society of Chemistry (RSC),10.1039/c3cs60137d,Stabilizing biocatalysts,2013
02_Sheldon_2018_ChemRev,Chemical Reviews,9,b8,Guidelines and Cost Analysis for Catalyst Production in Biocatalytic Processes Pär Tufvesson Joana Lima-Ramos Mathias Nordblad John M Woodley 10.1021/op1002165 Organic Process Research & Development Org. Process Res. Dev. 1083-6160 1520-586X 15 1 2011 American Chemical Society (ACS),10.1021/op1002165,Guidelines and Cost Analysis for Catalyst Production in Biocatalytic Processes,2011
02_Sheldon_2018_ChemRev,Chemical Reviews,[10],b9,Potential of Different Enzyme Immobilization Strategies to Improve Enzyme Performance C Garcia-Galan A Berenguer-Murcia R Fernandez-Lafuente R C Rodrigues Adv. Synth. Catal 353 2011,,Potential of Different Enzyme Immobilization Strategies to Improve Enzyme Performance,2011
02_Sheldon_2018_ChemRev,Chemical Reviews,[11],b10,Enzyme Immobilization: The Quest for Optimum Performance Roger A Sheldon 10.1002/adsc.200700082 Advanced Synthesis & Catalysis Adv Synth Catal 1615-4150 1615-4169 349 8-9 2007 Wiley,10.1002/adsc.200700082,Enzyme Immobilization: The Quest for Optimum Performance,2007
02_Sheldon_2018_ChemRev,Chemical Reviews,[12],b11,Perspective of Recent Progress in Immobilization of Enzymes Daniel N Tran Kenneth J Balkus 10.1021/cs200124a ACS Catalysis ACS Catal. 2155-5435 1 8 2011 American Chemical Society (ACS),10.1021/cs200124a,Perspective of Recent Progress in Immobilization of Enzymes,2011
02_Sheldon_2018_ChemRev,Chemical Reviews,[13],b12,Understanding enzyme immobilisation Ulf Hanefeld Lucia Gardossi Edmond Magner 10.1039/b711564b Chem. Soc. Rev. Chem. Soc. Rev. 0306-0012 1460-4744 38 2 2009 Royal Society of Chemistry (RSC),10.1039/b711564b,Understanding enzyme immobilisation,2009
02_Sheldon_2018_ChemRev,SUSTAINABLE CHEMISTRY,"14,",b13,"Organic Synthesis -Past, Present and Future R A Sheldon Chem. Ind 1992 London)",,"Organic Synthesis -Past, Present and Future",1992
02_Sheldon_2018_ChemRev,SUSTAINABLE CHEMISTRY,15,b14,"Fundamentals of Green Chemistry: Efficiency in Reaction Design R A Sheldon Summary of the Pollution Prevention Act 2012. accessed Aug 9, 2017 41",,Fundamentals of Green Chemistry: Efficiency in Reaction Design,2012
02_Sheldon_2018_ChemRev,SUSTAINABLE CHEMISTRY,17,b15,"Atom utilisation, E factors and the catalytic solution Roger A Sheldon 10.1016/s1387-1609(00)01174-9 Comptes Rendus de l'Académie des Sciences - Series IIC - Chemistry Comptes Rendus de l'Académie des Sciences - Series IIC - Chemistry 1387-1609 3 7 2000 Elsevier BV",10.1016/s1387-1609(00)01174-9,"Atom utilisation, E factors and the catalytic solution",2000
02_Sheldon_2018_ChemRev,SUSTAINABLE CHEMISTRY,18,b16,"Green Chemistry: Theory and Practice P Anastas J C Warner Report of the World Commission on Environment and Development: Our Common Future Oxford, U.K.; Oxford, U.K. Oxford University Press 1998. 19. 1987",,Green Chemistry: Theory and Practice,1987
02_Sheldon_2018_ChemRev,SUSTAINABLE CHEMISTRY,20,b17,"Green Chemistry and Sustainable Development Thomas E Graedel 10.1002/9780470988305.ch4 Oxford, U.K. 2002 Wiley Green chemistry and sustainable development",10.1002/9780470988305.ch4,Green Chemistry and Sustainable Development,2002
02_Sheldon_2018_ChemRev,SUSTAINABLE CHEMISTRY,21,b18,Circular economy design considerations for research and development in the chemical sciences J H Clark T J Farmer L Herrero-Davila J Sherwood Green Chem 18 2016,,Circular economy design considerations for research and development in the chemical sciences,2016
02_Sheldon_2018_ChemRev,Role of Catalysis,22,b19,ChemInform Abstract: Towards the Ideal Synthesis P A Wender S T Handy D L Wright 10.1002/chin.199808292 ChemInform ChemInform 0931-7597 1522-2667 29 8 1997 Wiley London),10.1002/chin.199808292,ChemInform Abstract: Towards the Ideal Synthesis,1997
02_Sheldon_2018_ChemRev,Role of Catalysis,"23,",b20,Catalysis and pollution prevention R A Sheldon Chem. Ind 1997 London),,Catalysis and pollution prevention,1997
02_Sheldon_2018_ChemRev,Role of Catalysis,24,b21,"R A Sheldon I W C E Arends U Green Hanefeld Catalysis; Wiley-Vch Chemistry 2007 Weinheim, Germany",,,2007
02_Sheldon_2018_ChemRev,Biocatalysis Is Green and Sustainable,25,b22,Enzymatic Catalysis in Organic Media at 100°C Aleksey Zaks Alexander M Klibanov 10.1126/science.6729453 Science Science 0036-8075 1095-9203 224 4654 1984 American Association for the Advancement of Science (AAAS),10.1126/science.6729453,Enzymatic Catalysis in Organic Media at 100°C,1984
