review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
03_Bell_2021_NatRevMethodsPrimers,Sources of biocatalysts,9,b0,S Charnock A M Bernardini E Monza M F Lucas P W Sutton P W Applied Biocatalysis J Whittall Sutton Wiley 2020,,Applied Biocatalysis,2020
03_Bell_2021_NatRevMethodsPrimers,Sources of biocatalysts,10,b1,UniProt: the universal protein knowledgebase A Bateman 10.1093/nar/gkw1099 Nucleic Acids Research Nucleic Acids Res 0305-1048 1362-4962 45 D1 2017 Oxford University Press (OUP),10.1093/nar/gkw1099,UniProt: the universal protein knowledgebase,2017
03_Bell_2021_NatRevMethodsPrimers,Sources of biocatalysts,11,b2,BioCatNet: A Database System for the Integration of Enzyme Sequences and Biocatalytic Experiments Patrick C F Buchholz Constantin Vogel Waldemar Reusch Martina Pohl Dörte Rother Antje C Spieß Jürgen Pleiss 10.1002/cbic.201600462 ChemBioChem ChemBioChem 1439-4227 1439-7633 17 21 2016 Wiley,10.1002/cbic.201600462,BioCatNet: A Database System for the Integration of Enzyme Sequences and Biocatalytic Experiments,2016
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,12,b3,The hidden enzymology of bacterial natural product biosynthesis Thomas A Scott Jörn Piel 0000-0002-2282-8154 10.1038/s41570-019-0107-1 Nature Reviews Chemistry Nat Rev Chem 2397-3358 3 7 2019 Springer Science and Business Media LLC,10.1038/s41570-019-0107-1,The hidden enzymology of bacterial natural product biosynthesis,2019
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,13,b4,Catalytic Mechanisms of Fe(II)- and 2-Oxoglutarate-dependent Oxygenases Salette Martinez Robert P Hausinger 0000-0002-3643-2054 10.1074/jbc.r115.648691 Journal of Biological Chemistry Journal of Biological Chemistry 0021-9258 290 34 2015 Elsevier BV,10.1074/jbc.r115.648691,Catalytic Mechanisms of Fe(II)- and 2-Oxoglutarate-dependent Oxygenases,2015
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,14,b5,Harnessing the biocatalytic potential of iron- and α-ketoglutarate-dependent dioxygenases in natural product total synthesis Christian R Zwick Hans Renata 0000-0003-2468-2328 10.1039/c9np00075e Natural Product Reports Nat. Prod. Rep. 0265-0568 1460-4752 37 8 2020 Royal Society of Chemistry (RSC),10.1039/c9np00075e,Harnessing the biocatalytic potential of iron- and α-ketoglutarate-dependent dioxygenases in natural product total synthesis,2020
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,17,b8,A family of radical halogenases for the engineering of amino-acid-based products Monica E Neugebauer 0000-0003-4223-9071 Kiera H Sumida Jeffrey G Pelton Jonathan L Mcmurry Jorge A Marchand Michelle C Y Chang 0000-0003-3747-7630 10.1038/s41589-019-0355-x Nature Chemical Biology Nat Chem Biol 1552-4450 1552-4469 15 10 2019 Springer Science and Business Media LLC,10.1038/s41589-019-0355-x,A family of radical halogenases for the engineering of amino-acid-based products,2019
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,18,b9,"Scalable biosynthesis of the seaweed neurochemical, kainic acid J R Chekan Angew. Chem. Int. Ed 58 2019",,"Scalable biosynthesis of the seaweed neurochemical, kainic acid",2019
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,19,b10,Scalable biocatalytic C–H oxyfunctionalization reactions Suman Chakrabarty 0000-0002-6611-3839 Ye Wang 0000-0001-8285-8657 Jonathan C Perkins 0000-0002-5874-565X Alison R H Narayan 0000-0001-8290-0077 10.1039/d0cs00440e Chemical Society Reviews Chem. Soc. Rev. 0306-0012 1460-4744 49 22 2020 Royal Society of Chemistry (RSC) Scalable biocatalytic C-H oxyfunctionalization reactions,10.1039/d0cs00440e,Scalable biocatalytic C–H oxyfunctionalization reactions,2020
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,20,b11,S-adenosylhomocysteine as a methyl transfer catalyst in biocatalytic methylation reactions Cangsong Liao Florian P Seebeck 0000-0003-4625-1369 10.1038/s41929-019-0300-0 Nature Catalysis Nat Catal 2520-1158 2 8 2019 Springer Science and Business Media LLC,10.1038/s41929-019-0300-0,S-adenosylhomocysteine as a methyl transfer catalyst in biocatalytic methylation reactions,2019
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,21,b12,A Natural Diels‐Alder Biocatalyst Enables Efficient [4+2] Cycloaddition Under Harsh Reaction Conditions Carl O Marsh Nicholas R Lees Li‐chen Han Matthew J Byrne Sbusisiwe Z Mbatha Laurence Maschio Sebastian Pagden‐ratcliffe Phillip W Duke James E M Stach Paul Curnow Christine L Willis Paul R Race 0000-0003-0184-5630 10.1002/cctc.201901285 ChemCatChem ChemCatChem 1867-3880 1867-3899 11 20 2019 Wiley,10.1002/cctc.201901285,A Natural Diels‐Alder Biocatalyst Enables Efficient [4+2] Cycloaddition Under Harsh Reaction Conditions,2019
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,22,b13,Site-Selective C–H Halogenation Using Flavin-Dependent Halogenases Identified via Family-Wide Activity Profiling Brian F Fisher 0000-0003-1727-2494 Harrison M Snodgrass Krysten A Jones 0000-0003-0711-5516 Mary C Andorfer Jared C Lewis 0000-0003-2800-8330 10.1021/acscentsci.9b00835 ACS Central Science ACS Cent. Sci. 2374-7943 2374-7951 5 11 2019 American Chemical Society (ACS),10.1021/acscentsci.9b00835,Site-Selective C–H Halogenation Using Flavin-Dependent Halogenases Identified via Family-Wide Activity Profiling,2019
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,23,b14,Engineering biosynthetic enzymes for industrial natural product synthesis S Galanie D Entwistle J Lalonde Nat. Prod. Rep 37 2020,,Engineering biosynthetic enzymes for industrial natural product synthesis,2020
03_Bell_2021_NatRevMethodsPrimers,Recombinant protein expression,24,b15,Total Biosynthesis for Milligram-Scale Production of Etoposide Intermediates in a Plant Chassis Bailey J Schultz 0000-0002-4648-0172 Seung Yeon Kim Warren Lau Elizabeth S Sattely 0000-0002-7352-859X 10.1021/jacs.9b10717 Journal of the American Chemical Society J. Am. Chem. Soc. 0002-7863 1520-5126 141 49 2019 American Chemical Society (ACS),10.1021/jacs.9b10717,Total Biosynthesis for Milligram-Scale Production of Etoposide Intermediates in a Plant Chassis,2019
