review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,"1,",b0,Ueber Kunstliche Bildung des Harnstoffs F Woḧler 10.1002/andp.18280880206 Ann. Phys 1828,10.1002/andp.18280880206,Ueber Kunstliche Bildung des Harnstoffs,
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,2,b1,R Keen The Life and Work of Friedrich Woḧler (1800-1882) Nordhausen Bautz 2005 nd ed.,,The Life and Work of Friedrich Woḧler (1800-1882),2005
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,3,b2,The Emergence of the Structure of the Molecule and the Art of Its Synthesis K C Nicolaou 10.1002/anie.201207081 Angewandte Chemie International Edition Angew Chem Int Ed 1433-7851 1521-3773 52 1 2013 Wiley,10.1002/anie.201207081,The Emergence of the Structure of the Molecule and the Art of Its Synthesis,2013
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,[4],b3,The total synthesis of vitamin B12 R B Woodward 10.1351/pac197333010145 Pure and Applied Chemistry 0033-4545 1365-3075 33 1 1973 Walter de Gruyter GmbH,10.1351/pac197333010145,The total synthesis of vitamin B12,1973
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,[5],b4,Organische Naturstoffsynthese heute. Vitamin B 12 als Beispiel A Eschenmoser 10.1007/BF00606511 Naturwissenschaften 61 1974,10.1007/bf00606511,Organische Naturstoffsynthese heute. Vitamin B 12 als Beispiel,1974
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,[6],b5,Recent Advances in the Total Synthesis of Steroids Via Intramolecular Cycloaddition Reactions T Kametani H Nemoto 10.1016/S0040-4020(01)97707-5 Tetrahedron 37 1981,10.1016/s0040-4020(01)97707-5,Recent Advances in the Total Synthesis of Steroids Via Intramolecular Cycloaddition Reactions,1981
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,[7],b6,"Organic Synthesis -Where Now? D Seebach 10.1002/anie.199013201 Angew. Chem., Int",10.1002/anie.199013201,Organic Synthesis -Where Now?,
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,[8],b8,The cortisone era: aspects of its impact. Some contributions of the Merck Laboratories Ralph Hirschmann 10.1016/0039-128x(92)90012-x Steroids Steroids 0039-128X 57 12 1992 Elsevier BV,10.1016/0039-128x(92)90012-x,The cortisone era: aspects of its impact. Some contributions of the Merck Laboratories,1992
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,[9],b9,"J A Hogg 10.1016/0039-128X(92)90013-Y Steroids, the Steroid Community, and Upjohn in Perspective: A Profile of Innovation 1992 57",10.1016/0039-128x(92)90013-y,"Steroids, the Steroid Community, and Upjohn in Perspective: A Profile of Innovation",1992
04_Winkler_2021_ACSCentSci,CATALYSTS FOR ORGANIC SYNTHESIS,[10],b10,"K C Nicolaou T Montagnon Molecules That Changed the World 2008 Wiley-VH Weinheim, Germany",,Molecules That Changed the World,2008
