review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,2,b1,Biotransformations in Organic Chemistry K Drauz H Groger O May Eds -Vch ; Wiley K Faber E Fischer Ber Dtsch. Chem. Ges 1894 6 2985 2012. 2011 Springer: Heidelberg Enzyme Catalysis in Organic Synthesis th ed.,,Biotransformations in Organic Chemistry,2011
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,2,b1,Biotransformations in Organic Chemistry K Drauz H Groger O May Eds -Vch ; Wiley K Faber E Fischer Ber Dtsch. Chem. Ges 1894 6 2985 2012. 2011 Springer: Heidelberg Enzyme Catalysis in Organic Synthesis th ed.,,Biotransformations in Organic Chemistry,2011
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,7,b5,"Review of this transformation reported in 1952 and other early steroid oxidations practiced by Upjohn Company: Hogg F P Guengerich A W Munro Structure, Mechanism, and Biochemistry Berlin Springer 1992. 2005. 2013 57 17065 Review of P450 enzymes : Ortiz de Montellano, J. A. Steroids 3rd ed. J. Biol. Chem.",,Review of this transformation reported in 1952 and other early steroid oxidations practiced by Upjohn Company: Hogg,1992
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,8,b6,R B Woodward F Sondheimer D Taub K Heusler W M Maclamore J. Am. Chem. Soc 74 4223 1952,,J. Am. Chem. Soc,1952
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,2,b1,Biotransformations in Organic Chemistry K Drauz H Groger O May Eds -Vch ; Wiley K Faber E Fischer Ber Dtsch. Chem. Ges 1894 6 2985 2012. 2011 Springer: Heidelberg Enzyme Catalysis in Organic Synthesis th ed.,,Biotransformations in Organic Chemistry,2011
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,2,b1,Biotransformations in Organic Chemistry K Drauz H Groger O May Eds -Vch ; Wiley K Faber E Fischer Ber Dtsch. Chem. Ges 1894 6 2985 2012. 2011 Springer: Heidelberg Enzyme Catalysis in Organic Synthesis th ed.,,Biotransformations in Organic Chemistry,2011
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,11,b8,A M Klibanov Nature 409 241 2001,,Nature,2001
05_Reetz_2013_JACS,SELECTED MILESTONES OF THE PAST,2,b1,Biotransformations in Organic Chemistry K Drauz H Groger O May Eds -Vch ; Wiley K Faber E Fischer Ber Dtsch. Chem. Ges 1894 6 2985 2012. 2011 Springer: Heidelberg Enzyme Catalysis in Organic Synthesis th ed.,,Biotransformations in Organic Chemistry,2011
05_Reetz_2013_JACS,THE ADVENT OF RECOMBINANT DNA METHODS,12,b9,"Industrial Biotransformations, 2nd Completely Revised and Extended Edition. A. Liese , K. Seelbach , and C. Wandrey , Eds. Wiley-VCH : Weinheim . 2006 . 556 + xiv pp. £149.00. ISBN 3-527-31001-0 . B R Glick J J Pasternak C L Patten H E Schoemaker D Mink M G Wubbolts J Science ; Tao G.-Q Lin A Liese R A Sheldon 10.1021/op700158k Organic Process Research & Development Org. Process Res. Dev. P Tufvesson J Lima-Ramos M Nordblad J M Woodley 1083-6160 1520-586X 11 5 2010. 2006. 2003, 299, 1694. 2008. 2009. 2011. 2006. 2012 American Chemical Society (ACS) Washington, DC; Singapore; Totowa, NJ Industrial Biotransformations Asymmetric Organic Synthesis with Enzymes Biocatalysis for the Pharmaceutical Industry Org. Process Res. Dev nd ed. Chem. Soc. Rev.",10.1021/op700158k,"Industrial Biotransformations, 2nd Completely Revised and Extended Edition. A. Liese , K. Seelbach , and C. Wandrey , Eds. Wiley-VCH : Weinheim . 2006 . 556 + xiv pp. £149.00. ISBN 3-527-31001-0 .",2010
05_Reetz_2013_JACS,THE ADVENT OF RECOMBINANT DNA METHODS,2,b1,Biotransformations in Organic Chemistry K Drauz H Groger O May Eds -Vch ; Wiley K Faber E Fischer Ber Dtsch. Chem. Ges 1894 6 2985 2012. 2011 Springer: Heidelberg Enzyme Catalysis in Organic Synthesis th ed.,,Biotransformations in Organic Chemistry,2011
05_Reetz_2013_JACS,THE ADVENT OF RECOMBINANT DNA METHODS,"2,",b1,Biotransformations in Organic Chemistry K Drauz H Groger O May Eds -Vch ; Wiley K Faber E Fischer Ber Dtsch. Chem. Ges 1894 6 2985 2012. 2011 Springer: Heidelberg Enzyme Catalysis in Organic Synthesis th ed.,,Biotransformations in Organic Chemistry,2011
05_Reetz_2013_JACS,THE ADVENT OF RECOMBINANT DNA METHODS,"12,",b9,"Industrial Biotransformations, 2nd Completely Revised and Extended Edition. A. Liese , K. Seelbach , and C. Wandrey , Eds. Wiley-VCH : Weinheim . 2006 . 556 + xiv pp. £149.00. ISBN 3-527-31001-0 . B R Glick J J Pasternak C L Patten H E Schoemaker D Mink M G Wubbolts J Science ; Tao G.-Q Lin A Liese R A Sheldon 10.1021/op700158k Organic Process Research & Development Org. Process Res. Dev. P Tufvesson J Lima-Ramos M Nordblad J M Woodley 1083-6160 1520-586X 11 5 2010. 2006. 2003, 299, 1694. 2008. 2009. 2011. 2006. 2012 American Chemical Society (ACS) Washington, DC; Singapore; Totowa, NJ Industrial Biotransformations Asymmetric Organic Synthesis with Enzymes Biocatalysis for the Pharmaceutical Industry Org. Process Res. Dev nd ed. Chem. Soc. Rev.",10.1021/op700158k,"Industrial Biotransformations, 2nd Completely Revised and Extended Edition. A. Liese , K. Seelbach , and C. Wandrey , Eds. Wiley-VCH : Weinheim . 2006 . 556 + xiv pp. £149.00. ISBN 3-527-31001-0 .",2010
