review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
06_Arnold_2018_ACIE,Survival of the Fittest,[1],b1,Chemomimetic Biocatalysis: Exploiting the Synthetic Potential of Cofactor-Dependent Enzymes To Create New Catalysts Christopher K Prier Frances H Arnold 10.1021/jacs.5b09348 Journal of the American Chemical Society J. Am. Chem. Soc. 0002-7863 1520-5126 137 44 2015 American Chemical Society (ACS),10.1021/jacs.5b09348,Chemomimetic Biocatalysis: Exploiting the Synthetic Potential of Cofactor-Dependent Enzymes To Create New Catalysts,2015
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[2],b2,Exploring protein fitness landscapes by directed evolution Philip A Romero Frances H Arnold 10.1038/nrm2805 Nature Reviews Molecular Cell Biology Nat Rev Mol Cell Biol 1471-0072 1471-0080 10 12 2009 Springer Science and Business Media LLC,10.1038/nrm2805,Exploring protein fitness landscapes by directed evolution,2009
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[3],b3,P J Obrien D Herschlag Chem. Biol 1999,,Chem. Biol,1999
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[4],b4,Exploiting and engineering hemoproteins for abiological carbene and nitrene transfer reactions Oliver F Brandenberg Rudi Fasan Frances H Arnold 10.1016/j.copbio.2017.06.005 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 47 2017 Elsevier BV,10.1016/j.copbio.2017.06.005,Exploiting and engineering hemoproteins for abiological carbene and nitrene transfer reactions,2017
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[5],b5,Olefin Cyclopropanation via Carbene Transfer Catalyzed by Engineered Cytochrome P450 Enzymes Pedro S Coelho Eric M Brustad Arvind Kannan Frances H Arnold 10.1126/science.1231434 Science Science 0036-8075 1095-9203 339 6117 2013 American Association for the Advancement of Science (AAAS),10.1126/science.1231434,Olefin Cyclopropanation via Carbene Transfer Catalyzed by Engineered Cytochrome P450 Enzymes,2013
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[6],b6,Improved Cyclopropanation Activity of Histidine‐Ligated Cytochrome P450 Enables the Enantioselective Formal Synthesis of Levomilnacipran Z Jane Wang Hans Renata Nicole E Peck Christopher C Farwell Pedro S Coelho Frances H Arnold 10.1002/ange.201402809 Angewandte Chemie Angewandte Chemie 0044-8249 1521-3757 126 26 2014. 6 810. 2014 Wiley,10.1002/anie.201402809,Improved Cyclopropanation Activity of Histidine‐Ligated Cytochrome P450 Enables the Enantioselective Formal Synthesis of Levomilnacipran,2014
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[8],b9,"J A Mcintosh P S Coelho C C Z J Wang J C Lewis T R F H Arnold R Singh M Bordeaux R F Asan 10.1021/cs400893n Angew.C hem. Int. Ed 52 2013. 9 309 Angew.C hem. 2013, 125,9 479;s ee also ACSCatal. 2014, 4,546",10.1021/cs400893n,Angew.C hem. Int. Ed,2013
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[9],b10,"Enantioselective, intermolecular benzylic C–H amination catalysed by an engineered iron-haem enzyme Christopher K Prier Ruijie K Zhang Andrew R Buller Sabine Brinkmann-Chen Frances H Arnold 10.1038/nchem.2783 Nature Chemistry Nature Chem 1755-4330 1755-4349 9 7 2017 Springer Science and Business Media LLC",10.1038/nchem.2783,"Enantioselective, intermolecular benzylic C–H amination catalysed by an engineered iron-haem enzyme",2017
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[9],b10,"Enantioselective, intermolecular benzylic C–H amination catalysed by an engineered iron-haem enzyme Christopher K Prier Ruijie K Zhang Andrew R Buller Sabine Brinkmann-Chen Frances H Arnold 10.1038/nchem.2783 Nature Chemistry Nature Chem 1755-4330 1755-4349 9 7 2017 Springer Science and Business Media LLC",10.1038/nchem.2783,"Enantioselective, intermolecular benzylic C–H amination catalysed by an engineered iron-haem enzyme",2017
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[9],b10,"Enantioselective, intermolecular benzylic C–H amination catalysed by an engineered iron-haem enzyme Christopher K Prier Ruijie K Zhang Andrew R Buller Sabine Brinkmann-Chen Frances H Arnold 10.1038/nchem.2783 Nature Chemistry Nature Chem 1755-4330 1755-4349 9 7 2017 Springer Science and Business Media LLC",10.1038/nchem.2783,"Enantioselective, intermolecular benzylic C–H amination catalysed by an engineered iron-haem enzyme",2017
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[10],b11,Directed evolution of cytochrome c for carbon–silicon bond formation: Bringing silicon to life S B Jennifer Kan Russell D Lewis Kai Chen Frances H Arnold 10.1126/science.aah6219 Science Science 0036-8075 1095-9203 354 6315 2016 American Association for the Advancement of Science (AAAS),10.1126/science.aah6219,Directed evolution of cytochrome c for carbon–silicon bond formation: Bringing silicon to life,2016
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[11],b12,Genetically programmed chiral organoborane synthesis S B Jennifer Kan Xiongyi Huang Yosephine Gumulya Kai Chen Frances H Arnold 10.1038/nature24996 Nature Nature 0028-0836 1476-4687 552 7683 2017 Springer Science and Business Media LLC,10.1038/nature24996,Genetically programmed chiral organoborane synthesis,2017
06_Arnold_2018_ACIE,Evolution of Novelty:Enzymes that Catalyze Reactions Invented by Synthetic Chemists,[11],b12,Genetically programmed chiral organoborane synthesis S B Jennifer Kan Xiongyi Huang Yosephine Gumulya Kai Chen Frances H Arnold 10.1038/nature24996 Nature Nature 0028-0836 1476-4687 552 7683 2017 Springer Science and Business Media LLC,10.1038/nature24996,Genetically programmed chiral organoborane synthesis,2017
06_Arnold_2018_ACIE,Enzymes to Conquer New Chemistry,[12],b13,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis Stephan C Hammer 0000-0002-3620-9362 Grzegorz Kubik 0000-0002-5851-6910 Ella Watkins 0000-0002-0585-1598 Shan Huang 0000-0002-4436-3327 Hannah Minges 0000-0003-0615-3713 Frances H Arnold 0000-0002-4027-364X 10.1126/science.aao1482 Science Science 0036-8075 1095-9203 358 6360 2017 American Association for the Advancement of Science (AAAS),10.1126/science.aao1482,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis,2017
06_Arnold_2018_ACIE,Enzymes to Conquer New Chemistry,[13],b14,Unusually Broad Substrate Profile of Self‐Sufficient Cytochrome P450 Monooxygenase CYP116B4 from <i>Labrenzia aggregata</i> Yue‐cai Yin Hui‐lei Yu Zheng‐jiao Luan Ren‐jie Li Peng‐fei Ouyang Jing Liu Jian‐he Xu 10.1002/cbic.201402309 ChemBioChem ChemBioChem 1439-4227 1439-7633 15 16 2014 Wiley,10.1002/cbic.201402309,Unusually Broad Substrate Profile of Self‐Sufficient Cytochrome P450 Monooxygenase CYP116B4 from <i>Labrenzia aggregata</i>,2014
06_Arnold_2018_ACIE,Enzymes to Conquer New Chemistry,[14],b15,Catalytic asymmetric epoxidations with chiral iron porphyrins John T Groves Richard S Myers 10.1021/ja00356a016 Journal of the American Chemical Society J. Am. Chem. Soc. 0002-7863 1520-5126 105 18 1983 American Chemical Society (ACS),10.1021/ja00356a016,Catalytic asymmetric epoxidations with chiral iron porphyrins,1983
06_Arnold_2018_ACIE,Enzymes to Conquer New Chemistry,[12],b13,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis Stephan C Hammer 0000-0002-3620-9362 Grzegorz Kubik 0000-0002-5851-6910 Ella Watkins 0000-0002-0585-1598 Shan Huang 0000-0002-4436-3327 Hannah Minges 0000-0003-0615-3713 Frances H Arnold 0000-0002-4027-364X 10.1126/science.aao1482 Science Science 0036-8075 1095-9203 358 6360 2017 American Association for the Advancement of Science (AAAS),10.1126/science.aao1482,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis,2017
06_Arnold_2018_ACIE,Enzymes to Conquer New Chemistry,[11],b12,Genetically programmed chiral organoborane synthesis S B Jennifer Kan Xiongyi Huang Yosephine Gumulya Kai Chen Frances H Arnold 10.1038/nature24996 Nature Nature 0028-0836 1476-4687 552 7683 2017 Springer Science and Business Media LLC,10.1038/nature24996,Genetically programmed chiral organoborane synthesis,2017
06_Arnold_2018_ACIE,Enzymes to Conquer New Chemistry,[10],b11,Directed evolution of cytochrome c for carbon–silicon bond formation: Bringing silicon to life S B Jennifer Kan Russell D Lewis Kai Chen Frances H Arnold 10.1126/science.aah6219 Science Science 0036-8075 1095-9203 354 6315 2016 American Association for the Advancement of Science (AAAS),10.1126/science.aah6219,Directed evolution of cytochrome c for carbon–silicon bond formation: Bringing silicon to life,2016
06_Arnold_2018_ACIE,Enzymes to Conquer New Chemistry,[12],b13,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis Stephan C Hammer 0000-0002-3620-9362 Grzegorz Kubik 0000-0002-5851-6910 Ella Watkins 0000-0002-0585-1598 Shan Huang 0000-0002-4436-3327 Hannah Minges 0000-0003-0615-3713 Frances H Arnold 0000-0002-4027-364X 10.1126/science.aao1482 Science Science 0036-8075 1095-9203 358 6360 2017 American Association for the Advancement of Science (AAAS),10.1126/science.aao1482,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis,2017
06_Arnold_2018_ACIE,Closing Thoughts,[15],b16,"Design and evolution of enzymes for non-natural chemistry Stephan C Hammer Anders M Knight 0000-0001-9665-8197 Frances H Arnold 0000-0002-4027-364X 10.1016/j.cogsc.2017.06.002 Current Opinion in Green and Sustainable Chemistry Current Opinion in Green and Sustainable Chemistry 2452-2236 7 2017, 7,23. November 28. 2017 Elsevier BV",10.1016/j.cogsc.2017.06.002,Design and evolution of enzymes for non-natural chemistry,2017
06_Arnold_2018_ACIE,Closing Thoughts,[12],b13,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis Stephan C Hammer 0000-0002-3620-9362 Grzegorz Kubik 0000-0002-5851-6910 Ella Watkins 0000-0002-0585-1598 Shan Huang 0000-0002-4436-3327 Hannah Minges 0000-0003-0615-3713 Frances H Arnold 0000-0002-4027-364X 10.1126/science.aao1482 Science Science 0036-8075 1095-9203 358 6360 2017 American Association for the Advancement of Science (AAAS),10.1126/science.aao1482,Anti-Markovnikov alkene oxidation by metal-oxo–mediated enzyme catalysis,2017
