review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
07_Turner_2009_NatChemBiol,r e v i e w,[1],b0,Dispelling the Myths--Biocatalysis in Industrial Synthesis Hans E Schoemaker Daniel Mink Marcel G Wubbolts 10.1126/science.1079237 Science Science 0036-8075 1095-9203 299 5613 2003 American Association for the Advancement of Science (AAAS),10.1126/science.1079237,Dispelling the Myths--Biocatalysis in Industrial Synthesis,2003
07_Turner_2009_NatChemBiol,r e v i e w,[2],b1,Chemo-enzymatic synthesis of pharmaceutical intermediates Ramesh N Patel 10.1517/17460441.3.2.187 Expert Opinion on Drug Discovery Expert Opinion on Drug Discovery 1746-0441 1746-045X 3 2 2008 Informa UK Limited,10.1517/17460441.3.2.187,Chemo-enzymatic synthesis of pharmaceutical intermediates,2008
07_Turner_2009_NatChemBiol,r e v i e w,[3],b2,Biocatalysis for pharmaceutical intermediates: the future is now D J Pollard J M Woodley Trends Biotechnol 25 2007,,Biocatalysis for pharmaceutical intermediates: the future is now,2007
07_Turner_2009_NatChemBiol,r e v i e w,[4],b3,Trends and innovations in industrial biocatalysis for the production of fine chemicals S Panke M Held M Wubbolts 10.1016/j.copbio.2004.06.011 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 15 4 2004 Elsevier BV,10.1016/j.copbio.2004.06.011,Trends and innovations in industrial biocatalysis for the production of fine chemicals,2004
07_Turner_2009_NatChemBiol,r e v i e w,5,b4,"Catalytic effectiveness, a measure of enzyme proficiency for industrial applications Richard J Fox Michael D Clay 10.1016/j.tibtech.2008.12.001 Trends in Biotechnology Trends in Biotechnology 0167-7799 27 3 2009 Elsevier BV",10.1016/j.tibtech.2008.12.001,"Catalytic effectiveness, a measure of enzyme proficiency for industrial applications",2009
07_Turner_2009_NatChemBiol,r e v i e w,"6,",b5,Rapid evolution of a protein in vitro by DNA shuffling Willem P Stemmer 10.1038/370389a0 Nature Nature 0028-0836 1476-4687 370 6488 1994 Springer Science and Business Media LLC,10.1038/370389a0,Rapid evolution of a protein in vitro by DNA shuffling,1994
07_Turner_2009_NatChemBiol,r e v i e w,7,b6,DNA shuffling of a family of genes from diverse species accelerates directed evolution A Crameri Nature 391 1998,,DNA shuffling of a family of genes from diverse species accelerates directed evolution,1998
07_Turner_2009_NatChemBiol,r e v i e w,9,b8,Creation of enantioselective biocatalysts for organic chemistry by in vitro evolution M T Reetz A Zonta K Schimossek K Liebeton K.-E Jaeger Angew. Chem. Int. Ed 36 1997,,Creation of enantioselective biocatalysts for organic chemistry by in vitro evolution,1997
07_Turner_2009_NatChemBiol,r e v i e w,[10],b9,Directed evolution: creating biocatalysts for the future F H Arnold Chem. Eng. Sci 51 1996,,Directed evolution: creating biocatalysts for the future,1996
07_Turner_2009_NatChemBiol,r e v i e w,[11],b10,Directed enzyme evolution: climbing fitness peaks one amino acid at a time C A Tracewell F H Arnold Curr. Opin. Chem. Biol 13 2009,,Directed enzyme evolution: climbing fitness peaks one amino acid at a time,2009
