review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
08_Schmid_2001_Nature,B,"1,",b0,Biotransformations in Organic Chemistry — A Textbook Kurt Faber 10.1007/978-3-642-97607-0 1997 Springer Berlin Heidelberg Berlin,10.1007/978-3-642-97607-0,Biotransformations in Organic Chemistry — A Textbook,1997
08_Schmid_2001_Nature,B,2,b1,Biocatalysts for Industry J S Dordick 10.1007/978-1-4757-4597-9 Biocatalysts for Industry New York Springer US 1991,10.1007/978-1-4757-4597-9,Biocatalysts for Industry,1991
08_Schmid_2001_Nature,B,3,b2,[33] Industrial-scale production and application of immobilized glucose isomerase Villy J Jensen Susanne Rugh 10.1016/s0076-6879(87)36035-5 Methods in Enzymology Elsevier 1987 136,10.1016/s0076-6879(87)36035-5,[33] Industrial-scale production and application of immobilized glucose isomerase,1987
08_Schmid_2001_Nature,B,4,b3,Process for the recovery of ampicillin from enzymatic acylation of 6-aminopenicillanic acid (Chemferm; patent no. WO W H J Boesten H M Moody E C Roos 1996 9630376 The Netherlands,,Process for the recovery of ampicillin from enzymatic acylation of 6-aminopenicillanic acid (Chemferm; patent no. WO,1996
08_Schmid_2001_Nature,B,"5,",b4,Review of biocatalysis in the production of chiral fine chemicals B Schulze R Broxterman H Shoemaker W Boesten Spec. Chem 18 246 1998,,Review of biocatalysis in the production of chiral fine chemicals,1998
08_Schmid_2001_Nature,B,6,b5,Enzymes in polymer science: an introduction D L Kaplan J S Dordick R A Gross G Swift Am. Chem. Soc. Symp. Ser 684 1998,,Enzymes in polymer science: an introduction,1998
08_Schmid_2001_Nature,B,7,b6,"Phenolic developer resins A R Pokora W L Cyrus 1987 US 647 952 Dayton, OH",,Phenolic developer resins,1987
08_Schmid_2001_Nature,B,8,b7,Application of nitrile converting enzymes for the production of useful compounds T Nagasawa H Yamada Pure Appl. Chem 62 1990,,Application of nitrile converting enzymes for the production of useful compounds,1990
08_Schmid_2001_Nature,The biocatalysis cycle,10,b9,Chemical versus biochemical conversion: When and how to use biocatalysts Johannes Tramper 10.1002/(sici)1097-0290(19961020)52:2<290::aid-bit8>3.0.co;2-l Biotechnology and Bioengineering Biotechnol. Bioeng. 0006-3592 1097-0290 52 2 1996 Wiley,10.1002/(sici)1097-0290(19961020)52:2<290::aid-bit8>3.0.co;2-l,Chemical versus biochemical conversion: When and how to use biocatalysts,1996
08_Schmid_2001_Nature,Enzyme catalysis in organic solvents,"11,",b10,Directed evolution of biocatalysts F H Arnold A A Volkov Curr. Opin. Chem. Biol 3 1999,,Directed evolution of biocatalysts,1999
08_Schmid_2001_Nature,Enzyme catalysis in organic solvents,12,b11,DNA shuffling by random fragmentation and reassembly: in vitro recombination for molecular evolution W P Stemmer Nature 370 1994,,DNA shuffling by random fragmentation and reassembly: in vitro recombination for molecular evolution,1994
08_Schmid_2001_Nature,Enzyme catalysis in organic solvents,16,b15,[20] Cross-linked enzyme crystals of lipases as catalysts for kinetic resolution of acids and alcohols Jim J Lalonde Manuel Navia Alexey L Margolin 10.1016/s0076-6879(97)86022-3 Methods in Enzymology Elsevier 1997 286,10.1016/s0076-6879(97)86022-3,[20] Cross-linked enzyme crystals of lipases as catalysts for kinetic resolution of acids and alcohols,1997
08_Schmid_2001_Nature,Enzyme catalysis in organic solvents,17,b16,Enzyme-catalyzed synthesis of sugar-containing monomers and linear polymers O Park D Y Kim J S Dordick Biotechnol. Bioeng 70 2000,,Enzyme-catalyzed synthesis of sugar-containing monomers and linear polymers,2000
08_Schmid_2001_Nature,Enzyme catalysis in organic solvents,18,b17,Salts dramatically enhance activity of enzymes suspended in organic solvents Y L Khmelnitsky S H Welch D S Dlark J S Dordick J. Am. Chem. Soc 116 1994,,Salts dramatically enhance activity of enzymes suspended in organic solvents,1994
