review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
10_Yi_2021_ChemSocRev,Introduction,1,b0,L Rosenthaler Biochem. Z 14 1908,,Biochem. Z,1908
10_Yi_2021_ChemSocRev,Introduction,2,b1,U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins Nature 485 2012,,Nature,2012
10_Yi_2021_ChemSocRev,Introduction,2,b1,U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins Nature 485 2012,,Nature,2012
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,3,b2,"Electronics A Bibliographical Guide C K Moore K J Spencer 10.1007/978-1-4615-9615-8 1965, 38, 8 Springer US",10.1007/978-1-4615-9615-8,Electronics A Bibliographical Guide,1965
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,[4],b3,Next-Generation Machine Learning for Biological Networks Diogo M Camacho Katherine M Collins Rani K Powers James C Costello James J Collins 10.1016/j.cell.2018.05.015 Cell Cell 0092-8674 173 7 2018 Elsevier BV,10.1016/j.cell.2018.05.015,Next-Generation Machine Learning for Biological Networks,2018
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,[5],b4,J Zou M Huss A Abid P Mohammadi A Torkamani A Telenti Nat. Genet 51 2019,,Nat. Genet,2019
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,[6],b5,R P H De Jongh A D J Van Dijk M K Julsing P J Schaap D De Ridder Trends Biotechnol 38 2020,,Trends Biotechnol,2020
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,"7,",b6,"G Qu A Li C G Acevedo-Rocha Z Sun M T Reetz Angew. Chem., Int. Ed 59 2020",,"Angew. Chem., Int. Ed",2020
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,8,b7,K K Yang Z Wu F H Arnold Nat. Methods 16 2019,,Nat. Methods,2019
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,9,b8,Google and Collaborators A I Science 369 2020,,Google and Collaborators,2020
10_Yi_2021_ChemSocRev,Matthias Ho ¨hne,10,b9,A mobile robotic chemist Benjamin Burger Phillip M Maffettone 0000-0001-7173-7972 Vladimir V Gusev Catherine M Aitchison 0000-0003-1437-8314 Yang Bai Xiaoyan Wang Xiaobo Li Ben M Alston Buyi Li Rob Clowes Nicola Rankin Brandon Harris 0000-0003-4881-6220 Reiner Sebastian Sprick 0000-0002-5389-2706 Andrew I Cooper 10.1038/s41586-020-2442-2 Nature Nature 0028-0836 1476-4687 583 7815 2020 Springer Science and Business Media LLC,10.1038/s41586-020-2442-2,A mobile robotic chemist,2020
