review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
11_Hanefeld_2022_ChemSocRev,Introduction,1,b0,F Wo J Liebig Ann. Pharm 1837,,Ann. Pharm,
11_Hanefeld_2022_ChemSocRev,Introduction,2,b1,The Pivotal Role of Platinum in the Discovery of Catalysis P M D Collins 10.1595/003214086x303141146 Platinum Metals Review 0032-1400 30 3 1986 Johnson Matthey,10.1595/003214086x303141146,The Pivotal Role of Platinum in the Discovery of Catalysis,1986
11_Hanefeld_2022_ChemSocRev,Introduction,3,b2,Einfluss der Configuration auf die Wirkung der Enzyme Emil Fischer Ber 10.1002/cber.18940270364 Berichte der deutschen chemischen Gesellschaft Ber. Dtsch. Chem. Ges. 0365-9496 27 3 1894 Wiley,10.1002/cber.18940270364,Einfluss der Configuration auf die Wirkung der Enzyme,1894
11_Hanefeld_2022_ChemSocRev,Introduction,4,b3,The Peril of the Turnstile Door L Rosenthaler 10.1038/scientificamerican04041908-238 Scientific American Sci Am 0036-8733 98 14 1908 Springer Science and Business Media LLC,10.1038/scientificamerican04041908-238,The Peril of the Turnstile Door,1908
11_Hanefeld_2022_ChemSocRev,Introduction,5,b4,U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins Nature 485 2012,,Nature,2012
11_Hanefeld_2022_ChemSocRev,Introduction,6,b5,J Sukumaran U Hanefeld Chem. Soc. Rev 34 2005,,Chem. Soc. Rev,2005
11_Hanefeld_2022_ChemSocRev,Introduction,[7],b6,Catalysis: An Integrated Textbook for Students U Hanefeld L Lefferts 2017 Wiley-VCH,,Catalysis: An Integrated Textbook for Students,2017
11_Hanefeld_2022_ChemSocRev,Introduction,[8],b7,Biotransformations in Organic Chemistry Kurt Faber 10.1007/978-3-319-61590-5 2018 Springer International Publishing,10.1007/978-3-319-61590-5,Biotransformations in Organic Chemistry,2018
11_Hanefeld_2022_ChemSocRev,Introduction,[9],b8,Enzyme promiscuity: mechanism and applications Karl Hult Per Berglund 10.1016/j.tibtech.2007.03.002 Trends in Biotechnology Trends in Biotechnology 0167-7799 25 5 2007 Elsevier BV,10.1016/j.tibtech.2007.03.002,Enzyme promiscuity: mechanism and applications,2007
11_Hanefeld_2022_ChemSocRev,Introduction,7,b6,Catalysis: An Integrated Textbook for Students U Hanefeld L Lefferts 2017 Wiley-VCH,,Catalysis: An Integrated Textbook for Students,2017
11_Hanefeld_2022_ChemSocRev,Introduction,10,b9,H E Schoemaker D Mink M G Wubbolts Science 299 2003,,Science,2003
11_Hanefeld_2022_ChemSocRev,Introduction,5,b4,U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins Nature 485 2012,,Nature,2012
11_Hanefeld_2022_ChemSocRev,Introduction,11,b10,Industrial biocatalysis today and tomorrow A Schmid J S Dordick B Hauer A Kiener M Wubbolts B Witholt 10.1038/35051736 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051736,Industrial biocatalysis today and tomorrow,2001
11_Hanefeld_2022_ChemSocRev,Introduction,"7,",b6,Catalysis: An Integrated Textbook for Students U Hanefeld L Lefferts 2017 Wiley-VCH,,Catalysis: An Integrated Textbook for Students,2017
11_Hanefeld_2022_ChemSocRev,Introduction,"12,",b11,E M M Abdelraheem H Busch U Hanefeld F Tonin React. Chem. Eng 4 2019,,React. Chem. Eng,2019
11_Hanefeld_2022_ChemSocRev,Introduction,13,b12,Fumarase-catalyzed synthesis of L-threo-chloromalic acid and its conversion to 2-deoxy-D-ribose and D-erythro-sphingosine Mark A Findeis George M Whitesides 10.1021/jo00389a035 The Journal of Organic Chemistry J. Org. Chem. 0022-3263 1520-6904 52 13 1987 American Chemical Society (ACS),10.1021/jo00389a035,Fumarase-catalyzed synthesis of L-threo-chloromalic acid and its conversion to 2-deoxy-D-ribose and D-erythro-sphingosine,1987
11_Hanefeld_2022_ChemSocRev,Introduction,"5,",b4,U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins Nature 485 2012,,Nature,2012
11_Hanefeld_2022_ChemSocRev,Introduction,"10,",b9,H E Schoemaker D Mink M G Wubbolts Science 299 2003,,Science,2003
11_Hanefeld_2022_ChemSocRev,Introduction,"11,",b10,Industrial biocatalysis today and tomorrow A Schmid J S Dordick B Hauer A Kiener M Wubbolts B Witholt 10.1038/35051736 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051736,Industrial biocatalysis today and tomorrow,2001
11_Hanefeld_2022_ChemSocRev,Introduction,14,b13,Improving enzymes by using them in organic solvents Alexander M Klibanov 10.1038/35051719 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051719,Improving enzymes by using them in organic solvents,2001
11_Hanefeld_2022_ChemSocRev,Introduction,[15],b14,L E Zetzsche A R H Narayan Nat. Rev. Chem 4 2020,,Nat. Rev. Chem,2020
11_Hanefeld_2022_ChemSocRev,Introduction,[16],b15,Power of Biocatalysis for Organic Synthesis Christoph K Winkler 0000-0003-3068-9817 Joerg H Schrittwieser 0000-0002-5780-3221 Wolfgang Kroutil 0000-0002-2151-6394 10.1021/acscentsci.0c01496 ACS Central Science ACS Cent. Sci. 2374-7943 2374-7951 7 1 2021 American Chemical Society (ACS),10.1021/acscentsci.0c01496,Power of Biocatalysis for Organic Synthesis,2021
11_Hanefeld_2022_ChemSocRev,Introduction,[17],b16,"E Romero B S Jones B N Hogg A Rue ´casamajo M A Hayes S L Flitsch N J Turner C Schnepel Angew. Chem., Int. Ed 60 2021",,"Angew. Chem., Int. Ed",2021
11_Hanefeld_2022_ChemSocRev,Introduction,[18],b17,Innovation by Evolution: Bringing New Chemistry to Life (Nobel Lecture) Frances H Arnold 0000-0002-4027-364X 10.1002/anie.201907729 Angewandte Chemie International Edition Angew Chem Int Ed 1433-7851 1521-3773 58 41 2019 Wiley,10.1002/anie.201907729,Innovation by Evolution: Bringing New Chemistry to Life (Nobel Lecture),2019
11_Hanefeld_2022_ChemSocRev,Introduction,12,b11,E M M Abdelraheem H Busch U Hanefeld F Tonin React. Chem. Eng 4 2019,,React. Chem. Eng,2019
11_Hanefeld_2022_ChemSocRev,Introduction,7,b6,Catalysis: An Integrated Textbook for Students U Hanefeld L Lefferts 2017 Wiley-VCH,,Catalysis: An Integrated Textbook for Students,2017
11_Hanefeld_2022_ChemSocRev,Introduction,7,b6,Catalysis: An Integrated Textbook for Students U Hanefeld L Lefferts 2017 Wiley-VCH,,Catalysis: An Integrated Textbook for Students,2017
11_Hanefeld_2022_ChemSocRev,Introduction,"14,",b13,Improving enzymes by using them in organic solvents Alexander M Klibanov 10.1038/35051719 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051719,Improving enzymes by using them in organic solvents,2001
11_Hanefeld_2022_ChemSocRev,Introduction,19,b18,"M M C H Van Schie J D Spo ¨ring M Bocola P Domı ´nguez de Marı ´a and D. Rother, Green Chem 23 2021",,"Domı ´nguez de Marı ´a and D. Rother, Green Chem",2021
11_Hanefeld_2022_ChemSocRev,Introduction,"5,",b4,U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins Nature 485 2012,,Nature,2012
11_Hanefeld_2022_ChemSocRev,Introduction,"10,",b9,H E Schoemaker D Mink M G Wubbolts Science 299 2003,,Science,2003
11_Hanefeld_2022_ChemSocRev,Introduction,"11,",b10,Industrial biocatalysis today and tomorrow A Schmid J S Dordick B Hauer A Kiener M Wubbolts B Witholt 10.1038/35051736 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051736,Industrial biocatalysis today and tomorrow,2001
11_Hanefeld_2022_ChemSocRev,Introduction,14,b13,Improving enzymes by using them in organic solvents Alexander M Klibanov 10.1038/35051719 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051719,Improving enzymes by using them in organic solvents,2001
11_Hanefeld_2022_ChemSocRev,Introduction,20,b19,U Markel L L Zhu V J Frauenkron-Machedjou J Zhao M Bocola M D Davari K E Jaeger U Schwaneberg Catalysts 7 142 2017,,Catalysts,2017
11_Hanefeld_2022_ChemSocRev,Introduction,"21,",b20,Design of an in vitro biocatalytic cascade for the manufacture of islatravir Mark A Huffman 0000-0002-1417-9430 Anna Fryszkowska 0000-0003-0872-1497 Oscar Alvizo 0000-0002-3545-1317 Margie Borra-Garske 0000-0002-3709-6304 Kevin R Campos 0000-0003-0903-6475 Keith A Canada Paul N Devine 0000-0002-8274-4104 Da Duan 0000-0002-6410-1252 Jacob H Forstater 0000-0003-0268-1009 Shane T Grosser 0000-0002-9268-7545 Holst M Halsey 0000-0001-6865-9221 Gregory J Hughes 0000-0003-2333-5797 Junyong Jo 0000-0002-5134-3754 Leo A Joyce 0000-0002-8649-4894 Joshua N Kolev 0000-0003-0125-6991 Jack Liang Kevin M Maloney 0000-0003-1422-5422 Benjamin F Mann 0000-0002-2690-4521 Nicholas M Marshall Mark Mclaughlin Jeffrey C Moore 0000-0002-9807-6315 Grant S Murphy 0000-0003-0388-0309 Christopher C Nawrat 0000-0003-4550-9954 Jovana Nazor 0000-0003-0095-7219 Scott Novick Niki R Patel 0000-0002-7940-2736 Agustina Rodriguez-Granillo 0000-0001-8535-5502 Sandra A Robaire 0000-0003-0249-9717 Edward C Sherer 0000-0001-8178-9186 Matthew D Truppo 0000-0003-4917-7838 Aaron M Whittaker Deeptak Verma 0000-0003-0740-0624 Li Xiao Yingju Xu 0000-0002-1984-9501 Hao Yang 0000-0002-6580-534X 10.1126/science.aay8484 Science Science 0036-8075 1095-9203 366 6470 2019 American Association for the Advancement of Science (AAAS),10.1126/science.aay8484,Design of an in vitro biocatalytic cascade for the manufacture of islatravir,2019
11_Hanefeld_2022_ChemSocRev,Introduction,22,b21,X Q Meng L Yang Y Liu H L Wang Y L Shen D Z Wei ChemCatChem 13 2021,,ChemCatChem,2021
11_Hanefeld_2022_ChemSocRev,Introduction,[23],b22,Understanding enzyme immobilisation Ulf Hanefeld Lucia Gardossi Edmond Magner 10.1039/b711564b Chem. Soc. Rev. Chem. Soc. Rev. 0306-0012 1460-4744 38 2 2009 Royal Society of Chemistry (RSC),10.1039/b711564b,Understanding enzyme immobilisation,2009
11_Hanefeld_2022_ChemSocRev,Introduction,[24],b23,"Enzyme immobilisation in biocatalysis: why, what and how Roger A Sheldon Sander Van Pelt 10.1039/c3cs60075k Chem. Soc. Rev. Chem. Soc. Rev. 0306-0012 1460-4744 42 15 2013 Royal Society of Chemistry (RSC)",10.1039/c3cs60075k,"Enzyme immobilisation in biocatalysis: why, what and how",2013
11_Hanefeld_2022_ChemSocRev,Introduction,[25],b24,Industrial applications of immobilized enzymes—A review Alessandra Basso Simona Serban 10.1016/j.mcat.2019.110607 Molecular Catalysis Molecular Catalysis 2468-8231 479 110607 2019 Elsevier BV,10.1016/j.mcat.2019.110607,Industrial applications of immobilized enzymes—A review,2019
11_Hanefeld_2022_ChemSocRev,Introduction,[26],b25,P De Santis L.-E Meyer S Kara React. Chem. Eng 5 2020,,React. Chem. Eng,2020
11_Hanefeld_2022_ChemSocRev,Introduction,[27],b26,"V D Ja ¨ger R Lamm K Ku ¨sters G ¨ M Oldiges K E Jaeger J. Bu ¨chs and U. Krauss, Appl. Microbiol. Biotechnol 104 2020",,"J. Bu ¨chs and U. Krauss, Appl. Microbiol. Biotechnol",2020
11_Hanefeld_2022_ChemSocRev,Introduction,[28],b27,Metal–Organic Framework-Based Enzyme Biocomposites Weibin Liang 0000-0002-3032-436X Peter Wied 0000-0003-3254-5235 Francesco Carraro 0000-0001-8485-4676 Christopher J Sumby 0000-0002-9713-9599 Bernd Nidetzky 0000-0002-5030-2643 Chia-Kuang Tsung 0000-0002-9410-565X Paolo Falcaro 0000-0001-5935-0409 Christian J Doonan 0000-0003-2822-0956 10.1021/acs.chemrev.0c01029 Chemical Reviews Chem. Rev. 0009-2665 1520-6890 121 3 2021 American Chemical Society (ACS),10.1021/acs.chemrev.0c01029,Metal–Organic Framework-Based Enzyme Biocomposites,2021
11_Hanefeld_2022_ChemSocRev,Introduction,[29],b28,"D Videira-Quintela O Martin G Montalvo Microchem. J 2021, 167, 106318",,Microchem. J,2021
11_Hanefeld_2022_ChemSocRev,Introduction,"14,",b13,Improving enzymes by using them in organic solvents Alexander M Klibanov 10.1038/35051719 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051719,Improving enzymes by using them in organic solvents,2001
11_Hanefeld_2022_ChemSocRev,Introduction,19,b18,"M M C H Van Schie J D Spo ¨ring M Bocola P Domı ´nguez de Marı ´a and D. Rother, Green Chem 23 2021",,"Domı ´nguez de Marı ´a and D. Rother, Green Chem",2021
11_Hanefeld_2022_ChemSocRev,Introduction,10,b9,H E Schoemaker D Mink M G Wubbolts Science 299 2003,,Science,2003
11_Hanefeld_2022_ChemSocRev,Introduction,14,b13,Improving enzymes by using them in organic solvents Alexander M Klibanov 10.1038/35051719 Nature Nature 0028-0836 1476-4687 409 6817 2001 Springer Science and Business Media LLC,10.1038/35051719,Improving enzymes by using them in organic solvents,2001
11_Hanefeld_2022_ChemSocRev,Introduction,"19,",b18,"M M C H Van Schie J D Spo ¨ring M Bocola P Domı ´nguez de Marı ´a and D. Rother, Green Chem 23 2021",,"Domı ´nguez de Marı ´a and D. Rother, Green Chem",2021
11_Hanefeld_2022_ChemSocRev,Introduction,30,b29,C Ortiz M L Ferreira O Barbosa J C S Santos R C Rodrigues A Berenguer-Murcia L E Briand R Fernandez-Lafuente Catal. Sci. Technol 9 2019,,Catal. Sci. Technol,2019
11_Hanefeld_2022_ChemSocRev,Chemical transformations catalysed by biocatalysts,"1,",b0,F Wo J Liebig Ann. Pharm 1837,,Ann. Pharm,
