review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
12_Carrea_2000_ACIE,Introduction,[2],b8,"Carey Jones, Norman Stewart, (11 Dec. 1911–26 Aug. 1997), Director, Development Administration, Leeds University, 1965–77 J B Jones H Holland 10.1093/ww/9780199540884.013.u177391 Biocatalysis, Synopsis Scientific System 1997 Oxford University Press Leeds",10.1093/ww/9780199540884.013.u177391,"Carey Jones, Norman Stewart, (11 Dec. 1911–26 Aug. 1997), Director, Development Administration, Leeds University, 1965–77",1997
12_Carrea_2000_ACIE,Organic Solvent Systems,[3],b9,Enzymes in non-aqueous solvents Larry G Butler 10.1016/0141-0229(79)90044-9 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 1 4 1979 Elsevier BV,10.1016/0141-0229(79)90044-9,Enzymes in non-aqueous solvents,1979
12_Carrea_2000_ACIE,Organic Solvent Systems,[4],b10,Action of esterase in the presence of organic solvents Ernest A Sym 10.1042/bj0300609 Biochemical Journal 0306-3283 30 4 1936 Portland Press Ltd.,10.1042/bj0300609,Action of esterase in the presence of organic solvents,1936
12_Carrea_2000_ACIE,Water Activity,[9],b38,Rules for optimization of biocatalysis in organic solvents Colja Laane Sjef Boeren Kees Vos Cees Veeger 10.1002/bit.260300112 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 30 1 1987 Wiley,10.1002/bit.260300112,Rules for optimization of biocatalysis in organic solvents,1987
12_Carrea_2000_ACIE,Water Activity,[9],b38,Rules for optimization of biocatalysis in organic solvents Colja Laane Sjef Boeren Kees Vos Cees Veeger 10.1002/bit.260300112 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 30 1 1987 Wiley,10.1002/bit.260300112,Rules for optimization of biocatalysis in organic solvents,1987
12_Carrea_2000_ACIE,Water Activity,[10],b39,A Zaks A M Klibanov J. Biol. Chem 263 1988,,J. Biol. Chem,1988
12_Carrea_2000_ACIE,Water Activity,[11],b40,J A Rupley E Gratton G Careri Trends Biochem. Sci 8 1983. 18 ± 22,,Trends Biochem. Sci,1983
12_Carrea_2000_ACIE,Water Activity,[12],b41,Time-domain reflectometry studies of water binding and structural flexibility in chymotrypsin Stephen Bone 10.1016/0167-4838(87)90219-6 Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology 0167-4838 916 1 1987 Elsevier BV,10.1016/0167-4838(87)90219-6,Time-domain reflectometry studies of water binding and structural flexibility in chymotrypsin,1987
12_Carrea_2000_ACIE,Water Activity,[10],b39,A Zaks A M Klibanov J. Biol. Chem 263 1988,,J. Biol. Chem,1988
12_Carrea_2000_ACIE,Water Activity,[13],b42,Organic solvents strip water off enzymes Lu Ann S Gorman Jonathan S Dordick 10.1002/bit.260390405 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 39 4 1992 Wiley,10.1002/bit.260390405,Organic solvents strip water off enzymes,1992
