review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
14_Mateo_2007_BiotechnolAdv,Immobilization of enzymes,[7],b17,The use of biotransformations for the production of flavours and fragrances Psj Cheetham 10.1016/0167-7799(93)90081-j Trends in Biotechnology Trends in Biotechnology 0167-7799 11 11 1993 Elsevier BV,10.1016/0167-7799(93)90081-j,The use of biotransformations for the production of flavours and fragrances,1993
14_Mateo_2007_BiotechnolAdv,Immobilization of enzymes,[7],b17,The use of biotransformations for the production of flavours and fragrances Psj Cheetham 10.1016/0167-7799(93)90081-j Trends in Biotechnology Trends in Biotechnology 0167-7799 11 11 1993 Elsevier BV,10.1016/0167-7799(93)90081-j,The use of biotransformations for the production of flavours and fragrances,1993
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[8],b18,Thermostabilization of proteins M N Gupta Biotechnol Appl Biochem 14 1991,,Thermostabilization of proteins,1991
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[9],b19,Approaches to enzyme stabilization A M Klibanov Biochem Soc Trans 11 1983,,Approaches to enzyme stabilization,1983
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[10],b20,Stabilisation of enzymes against thermal inactivation A M Klibanov Adv Appl Microbiol 29 1982,,Stabilisation of enzymes against thermal inactivation,1982
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[11],b21,Enzyme stabilization by immobilization A M Klibanov Anal Biochem 93 1979,,Enzyme stabilization by immobilization,1979
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[12],b22,Enzyme stabilization: state of the art Liliana Gianfreda Mariarosaria Scarfi 10.1007/bf00234161 Molecular and Cellular Biochemistry Mol Cell Biochem 0300-8177 1573-4919 100 2 1991 Springer Science and Business Media LLC,10.1007/bf00234161,Enzyme stabilization: state of the art,1991
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[13],b23,Operational stability of copolymerized enzymes at elevated temperatures V V Mozhaev V A Šikšnis V P Torchilin Karel Martinek 10.1002/bit.260250804 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 25 8 1983 Wiley,10.1002/bit.260250804,Operational stability of copolymerized enzymes at elevated temperatures,1983
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[14],b24,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion K Martinek A M Klibanov V S Goldmacher I V Berezin Biochim Biophys Acta 485 1977,,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion,1977
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[15],b25,Strategy for Stabilizing Enzymes Part One: Increasing Stability of Enzymes via their Multi-Point Interaction with a Support V V Mozhaev N S Melik-Nubarov M V Sergeeva Virginius Šikšnis Karel Martinek 10.3109/10242429008992060 Biocatalysis Biocatalysis 0886-4454 3 3 1990 Informa UK Limited,10.3109/10242429008992060,Strategy for Stabilizing Enzymes Part One: Increasing Stability of Enzymes via their Multi-Point Interaction with a Support,1990
