review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
15_Sheldon_2013_ChemSocRev,Introduction,"1,",b0,"Biocatalysis for Green Chemistry and Chemical Process Development J Tao R J Kazlaukas 2011 Wiley Hoboken, New Jersey",,Biocatalysis for Green Chemistry and Chemical Process Development,2011
15_Sheldon_2013_ChemSocRev,Introduction,2,b1,Biocatalysis—key to sustainable industrial chemistry Roland Wohlgemuth 10.1016/j.copbio.2010.09.016 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 21 6 2010 Elsevier BV,10.1016/j.copbio.2010.09.016,Biocatalysis—key to sustainable industrial chemistry,2010
15_Sheldon_2013_ChemSocRev,Introduction,"3,",b2,D Munoz Solano P Hoyos M J Hernaiz A R Alcantara J M Sanchez-Montero Bioresour. Technol 115 2012,,Bioresour. Technol,2012
15_Sheldon_2013_ChemSocRev,Introduction,4,b3,C M Clouthierz J N Pelletier Chem. Soc. Rev 41 2012,,Chem. Soc. Rev,2012
15_Sheldon_2013_ChemSocRev,Introduction,"5,",b4,Engineering the third wave of biocatalysis U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins 10.1038/nature11117 Nature Nature 0028-0836 1476-4687 485 7397 2012 Springer Science and Business Media LLC,10.1038/nature11117,Engineering the third wave of biocatalysis,2012
15_Sheldon_2013_ChemSocRev,Introduction,6,b5,A Illanes A Cauerhff L Wilson G R Castro Bioresour. Technol 115 2012,,Bioresour. Technol,2012
15_Sheldon_2013_ChemSocRev,Introduction,[7],b6,Enzyme Immobilization: The Quest for Optimum Performance Roger A Sheldon 10.1002/adsc.200700082 Advanced Synthesis & Catalysis Adv Synth Catal 1615-4150 1615-4169 349 8-9 2007 Wiley,10.1002/adsc.200700082,Enzyme Immobilization: The Quest for Optimum Performance,2007
15_Sheldon_2013_ChemSocRev,Introduction,[8],b7,Perspective of Recent Progress in Immobilization of Enzymes Daniel N Tran Kenneth J Balkus 10.1021/cs200124a ACS Catalysis ACS Catal. 2155-5435 1 8 2011 American Chemical Society (ACS),10.1021/cs200124a,Perspective of Recent Progress in Immobilization of Enzymes,2011
15_Sheldon_2013_ChemSocRev,Introduction,[9],b8,C Garcia-Galan A Berenguer-Murcia R Fernandez-Lafuente R C Rodrigues Adv. Synth. Catal 353 2011,,Adv. Synth. Catal,2011
15_Sheldon_2013_ChemSocRev,Introduction,[10],b9,Understanding enzyme immobilisation Ulf Hanefeld Lucia Gardossi Edmond Magner 10.1039/b711564b Chem. Soc. Rev. Chem. Soc. Rev. 0306-0012 1460-4744 38 2 2009 Royal Society of Chemistry (RSC),10.1039/b711564b,Understanding enzyme immobilisation,2009
15_Sheldon_2013_ChemSocRev,Types of immobilisation,11,b10,"L Cao Carrier-bound Immobilized Enzymes, Principles, Applications and Design Weinheim Wiley-VCH 2005",,"Carrier-bound Immobilized Enzymes, Principles, Applications and Design",2005
15_Sheldon_2013_ChemSocRev,Types of immobilisation,12,b12,J J Roy T E Abraham Chem. Rev 104 2004,,Chem. Rev,2004
15_Sheldon_2013_ChemSocRev,Types of immobilisation,13,b13,R A Sheldon Appl. Microbiol. Biotechnol 92 2011,,Appl. Microbiol. Biotechnol,2011
15_Sheldon_2013_ChemSocRev,Terminology and general considerations,14,b15,M H A Janssen L M Van Langen S R M Pereira F Van Rantwijk R A Sheldon Biotechnol. Bioeng 78 2002,,Biotechnol. Bioeng,2002
15_Sheldon_2013_ChemSocRev,Synthetic organic polymers,15,b16,O Kirk M W Christensen Org. Process Res. Dev 6 2002,,Org. Process Res. Dev,2002
15_Sheldon_2013_ChemSocRev,Synthetic organic polymers,16,b17,E Katchalski-Katzir D M Kraemer J. Mol. Catal. B: Enzym 10 2000,,J. Mol. Catal. B: Enzym,2000
15_Sheldon_2013_ChemSocRev,Synthetic organic polymers,17,b18,A I Kallenberg F Van Rantwijk R A Sheldon Adv. Synth. Catal 347 2005,,Adv. Synth. Catal,2005
15_Sheldon_2013_ChemSocRev,Synthetic organic polymers,18,b19,M Petkar A Lali P Caimi M Daminati J. Mol. Catal. B: Enzym 39 2006,,J. Mol. Catal. B: Enzym,2006
15_Sheldon_2013_ChemSocRev,Synthetic organic polymers,19,b20,Enzyme Stabilization by Deposition of Silicone Coatings Lars O Wiemann Petra Weisshaupt René Nieguth Oliver Thum Marion B Ansorge-Schumacher 10.1021/op9000059 Organic Process Research & Development Org. Process Res. Dev. 1083-6160 1520-586X 13 3 2009 American Chemical Society (ACS),10.1021/op9000059,Enzyme Stabilization by Deposition of Silicone Coatings,2009
15_Sheldon_2013_ChemSocRev,Natural polymers,20,b21,B Krajewska Enzyme Microb 2004 35,,,2004
15_Sheldon_2013_ChemSocRev,Natural polymers,21,b22,T Tosa T Mori N Fuse I Chibata Enzymologia 214 1966,,Enzymologia,1966
15_Sheldon_2013_ChemSocRev,Inorganic polymers,22,b23,A Petri P Marconcini P Salvadori J. Mol. Catal. B: Enzym 32 2005,,J. Mol. Catal. B: Enzym,2005
