review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
16_Britton_2018_ChemSocRev,Introduction,[1],b0,Multi-step continuous-flow synthesis Joshua Britton Colin L Raston 0000-0003-4753-0079 10.1039/c6cs00830e Chemical Society Reviews Chem. Soc. Rev. 0306-0012 1460-4744 46 5 2017 Royal Society of Chemistry (RSC),10.1039/c6cs00830e,Multi-step continuous-flow synthesis,2017
16_Britton_2018_ChemSocRev,Introduction,[2],b1,"F Le P H Seeberger Angew. Chem., Int. Ed 51 2012",,"Angew. Chem., Int. Ed",2012
16_Britton_2018_ChemSocRev,Introduction,[3],b2,"B Gutmann D Cantillo C O Kappe Angew. Chem., Int. Ed 54 2015",,"Angew. Chem., Int. Ed",2015
16_Britton_2018_ChemSocRev,Introduction,[4],b3,The synthesis of active pharmaceutical ingredients (APIs) using continuous flow chemistry Marcus Baumann Ian R Baxendale 10.3762/bjoc.11.134 Beilstein Journal of Organic Chemistry Beilstein J. Org. Chem. 1860-5397 11 2015 Beilstein Institut,10.3762/bjoc.11.134,The synthesis of active pharmaceutical ingredients (APIs) using continuous flow chemistry,2015
16_Britton_2018_ChemSocRev,Introduction,[5],b4,"J Britton T F Jamison Angew. Chem., Int. Ed 129 2017",,"Angew. Chem., Int. Ed",2017
16_Britton_2018_ChemSocRev,Introduction,[6],b5,R L Hartman K F Jensen Lab Chip 9 2009,,Lab Chip,2009
16_Britton_2018_ChemSocRev,Introduction,[7],b6,L Malet-Sanz F Susanne J. Med. Chem 55 2012,,J. Med. Chem,2012
16_Britton_2018_ChemSocRev,Introduction,[8],b7,D T Mcquade P H Seeberger J. Org. Chem 78 2013,,J. Org. Chem,2013
16_Britton_2018_ChemSocRev,Introduction,[9],b8,M B Plutschack B Pieber K Gilmore P H Seeberger Chem. Rev 117 2017,,Chem. Rev,2017
16_Britton_2018_ChemSocRev,Introduction,[10],b9,J Britton T F Jamison Eur. J. Org. Chem 2017,,Eur. J. Org. Chem,2017
16_Britton_2018_ChemSocRev,Introduction,[11],b10,J Y Caaaayre P Renold T Pitterna Q M El EP2748154A1 2014,,EP2748154A1,2014
16_Britton_2018_ChemSocRev,Introduction,[12],b11,W G Whittingham C L Winn H Glithro M A Boussemghoune M B Aspinall EP2396306A1 2011,,EP2396306A1,2011
16_Britton_2018_ChemSocRev,Introduction,[13],b12,"A Buchholz W Reiner U J Haas 2011151146A1, 2011",,,2011
16_Britton_2018_ChemSocRev,Introduction,[14],b13,"Finney, Samuel C J Mathews J Finney J N Scutt L Robinson J S Delaney 10.1093/benz/9780199773787.article.b00064419 EP2389066A1 Oxford University Press 2011",10.1093/benz/9780199773787.article.b00064419,"Finney, Samuel",2011
16_Britton_2018_ChemSocRev,Introduction,[15],b14,"S A M Jeanmart R Viner J B Taylor W G Whittingham J S Wailes S M Targett C J Mathews M Muehlebach 2011073060A2, 2011",,,2011
16_Britton_2018_ChemSocRev,Introduction,[16],b15,K G Meyer W J Owen J M Renga C Yao B M Nugent J Wilmot F Li K Bravo-Altamirano US 8835462 2 2014,,US,2014
16_Britton_2018_ChemSocRev,Introduction,[17],b16,D Cantillo C O Kappe React. Chem. Eng 2 2017,,React. Chem. Eng,2017
16_Britton_2018_ChemSocRev,Introduction,[18],b17,Accelerating the Controlled Synthesis of Metal–Organic Frameworks by a Microfluidic Approach: A Nanoliter Continuous Reactor Lorena Paseta Beatriz Seoane Daniel Julve Víctor Sebastián Carlos Téllez Joaquín Coronas 10.1021/am4029872 ACS Applied Materials & Interfaces ACS Appl. Mater. Interfaces 1944-8244 1944-8252 5 19 2013 American Chemical Society (ACS),10.1021/am4029872,Accelerating the Controlled Synthesis of Metal–Organic Frameworks by a Microfluidic Approach: A Nanoliter Continuous Reactor,2013
16_Britton_2018_ChemSocRev,Introduction,[19],b18,Synthesis of metal–organic frameworks by continuous flow Peter A Bayliss Ilich A Ibarra Eduardo Pérez Sihai Yang Chiu C Tang Martyn Poliakoff Martin Schröder 10.1039/c4gc00313f Green Chem. Green Chem. 1463-9262 1463-9270 16 8 2014 Royal Society of Chemistry (RSC),10.1039/c4gc00313f,Synthesis of metal–organic frameworks by continuous flow,2014
16_Britton_2018_ChemSocRev,Introduction,[20],b19,"M Rubio-Martinez M P Batten A Polyzos K.-C Carey J I Mardel K.-S Lim M R Hill Sci. Rep 2014, 4, 5443",,Sci. Rep,2014
16_Britton_2018_ChemSocRev,Introduction,[21],b20,M Rubio-Martinez T D Hadley M P Batten K Constanti-Carey T Barton D Marley A Mo ¨nch K.-S Lim M R Hill ChemSusChem 9 2016,,ChemSusChem,2016
16_Britton_2018_ChemSocRev,Introduction,[22],b21,Y Zhang T F Jamison S Patel N Mainolfi Org. Lett 13 2011,,Org. Lett,2011
16_Britton_2018_ChemSocRev,Introduction,[23],b22,J Bao G K Tranmer Chem. Commun 51 2015,,Chem. Commun,2015
16_Britton_2018_ChemSocRev,Introduction,[24],b23,Facile azide formation via diazotransfer reaction in a copper tube flow reactor Koen Nuyts Matthias Ceulemans Tatjana N Parac-Vogt Geert Bultynck Wim M De Borggraeve 10.1016/j.tetlet.2015.02.036 Tetrahedron Letters Tetrahedron Letters 0040-4039 56 13 2015 Elsevier BV,10.1016/j.tetlet.2015.02.036,Facile azide formation via diazotransfer reaction in a copper tube flow reactor,2015
16_Britton_2018_ChemSocRev,Introduction,[25],b24,The Continuous‐Flow Synthesis of Carboxylic Acids using CO<sub>2</sub> in a Tube‐In‐Tube Gas Permeable Membrane Reactor Anastasios Polyzos Matthew O'brien Trine P Petersen Ian R Baxendale Steven V Ley 10.1002/anie.201006618 Angewandte Chemie International Edition Angew Chem Int Ed 1433-7851 1521-3773 50 5 2011 Wiley,10.1002/anie.201006618,The Continuous‐Flow Synthesis of Carboxylic Acids using CO<sub>2</sub> in a Tube‐In‐Tube Gas Permeable Membrane Reactor,2011
16_Britton_2018_ChemSocRev,Introduction,[26],b25,J C Pastre D L Browne M O'brien S V Ley Org. Process Res. Dev 17 2013,,Org. Process Res. Dev,2013
16_Britton_2018_ChemSocRev,Introduction,[27],b26,L Yang K F Jensen Org. Process Res. Dev 17 2013,,Org. Process Res. Dev,2013
16_Britton_2018_ChemSocRev,Introduction,[28],b27,Catalytic Chan–Lam coupling using a ‘tube-in-tube’ reactor to deliver molecular oxygen as an oxidant Carl J Mallia Paul M Burton Alexander M R Smith Gary C Walter Ian R Baxendale 10.3762/bjoc.12.156 Beilstein Journal of Organic Chemistry Beilstein J. Org. Chem. 1860-5397 12 2016 Beilstein Institut,10.3762/bjoc.12.156,Catalytic Chan–Lam coupling using a ‘tube-in-tube’ reactor to deliver molecular oxygen as an oxidant,2016
16_Britton_2018_ChemSocRev,Introduction,[29],b28,Continuous‐Flow Microreactor Chemistry under High‐Temperature/Pressure Conditions Tahseen Razzaq Toma N Glasnov C Oliver Kappe 10.1002/ejoc.200900077 European Journal of Organic Chemistry Eur J Org Chem 1434-193X 1099-0690 2009 9 2009 Wiley,10.1002/ejoc.200900077,Continuous‐Flow Microreactor Chemistry under High‐Temperature/Pressure Conditions,2009
16_Britton_2018_ChemSocRev,Introduction,[30],b29,The Microwave‐to‐Flow Paradigm: Translating High‐Temperature Batch Microwave Chemistry to Scalable Continuous‐Flow Processes Toma N Glasnov C Oliver Kappe 10.1002/chem.201102065 Chemistry – A European Journal Chemistry A European J 0947-6539 1521-3765 17 43 2011 Wiley,10.1002/chem.201102065,The Microwave‐to‐Flow Paradigm: Translating High‐Temperature Batch Microwave Chemistry to Scalable Continuous‐Flow Processes,2011
16_Britton_2018_ChemSocRev,Introduction,[31],b30,Machine‐Assisted Organic Synthesis Steven V Ley Daniel E Fitzpatrick Rebecca M Myers Claudio Battilocchio Richard. J Ingham 10.1002/anie.201501618 Angewandte Chemie International Edition Angew Chem Int Ed 1433-7851 1521-3773 54 35 2015 Wiley,10.1002/anie.201501618,Machine‐Assisted Organic Synthesis,2015
16_Britton_2018_ChemSocRev,Introduction,[32],b31,Continuous Flow Photochemistry Kerry Gilmore Peter H Seeberger 10.1002/tcr.201402035 The Chemical Record The Chemical Record 1527-8999 1528-0691 14 3 2014 Wiley,10.1002/tcr.201402035,Continuous Flow Photochemistry,2014
16_Britton_2018_ChemSocRev,Introduction,[33],b32,"Applications of Continuous-Flow Photochemistry in Organic Synthesis, Material Science, and Water Treatment Dario Cambié Cecilia Bottecchia Natan J W Straathof Volker Hessel Timothy Noël 10.1021/acs.chemrev.5b00707 Chemical Reviews Chem. Rev. 0009-2665 1520-6890 116 17 2016 American Chemical Society (ACS)",10.1021/acs.chemrev.5b00707,"Applications of Continuous-Flow Photochemistry in Organic Synthesis, Material Science, and Water Treatment",2016
16_Britton_2018_ChemSocRev,Introduction,[34],b33,K Loubie `re M Oelgemo ¨ller T Aillet O Dechy-Cabaret L Prat Chem. Eng. Process 104 2016,,Chem. Eng. Process,2016
16_Britton_2018_ChemSocRev,Introduction,[35],b34,Photoredox activation of carbon dioxide for amino acid synthesis in continuous flow Hyowon Seo 0000-0002-9569-1902 Matthew H Katcher 0000-0002-0010-0496 Timothy F Jamison 10.1038/nchem.2690 Nature Chemistry Nature Chem 1755-4330 1755-4349 9 5 2016 Springer Science and Business Media LLC,10.1038/nchem.2690,Photoredox activation of carbon dioxide for amino acid synthesis in continuous flow,2016
