review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,1,b0,Introduction to ACS Catalysis Virtual Special Issue on Cascade Catalysis W Kroutil M Rueping ACS Catal 4 2014,,Introduction to ACS Catalysis Virtual Special Issue on Cascade Catalysis,2014
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,"2,",b1,(Chemo)enzymatic cascades—Nature's synthetic strategy transferred to the laboratory Eduardo García-Junceda Iván Lavandera Dörte Rother Joerg H Schrittwieser 10.1016/j.molcatb.2014.12.007 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 114 2015 Elsevier BV,10.1016/j.molcatb.2014.12.007,(Chemo)enzymatic cascades—Nature's synthetic strategy transferred to the laboratory,2015
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,3,b2,Concepts of Nature in Organic Synthesis: Cascade Catalysis and Multistep Conversions in Concert Alle Bruggink Rob Schoevaart Tom Kieboom 10.1021/op0340311 Organic Process Research & Development Org. Process Res. Dev. 1083-6160 1520-586X 7 5 2003 American Chemical Society (ACS),10.1021/op0340311,Concepts of Nature in Organic Synthesis: Cascade Catalysis and Multistep Conversions in Concert,2003
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,[2],b1,(Chemo)enzymatic cascades—Nature's synthetic strategy transferred to the laboratory Eduardo García-Junceda Iván Lavandera Dörte Rother Joerg H Schrittwieser 10.1016/j.molcatb.2014.12.007 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 114 2015 Elsevier BV,10.1016/j.molcatb.2014.12.007,(Chemo)enzymatic cascades—Nature's synthetic strategy transferred to the laboratory,2015
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,[3],b2,Concepts of Nature in Organic Synthesis: Cascade Catalysis and Multistep Conversions in Concert Alle Bruggink Rob Schoevaart Tom Kieboom 10.1021/op0340311 Organic Process Research & Development Org. Process Res. Dev. 1083-6160 1520-586X 7 5 2003 American Chemical Society (ACS),10.1021/op0340311,Concepts of Nature in Organic Synthesis: Cascade Catalysis and Multistep Conversions in Concert,2003
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,[4],b3,Advances in Biocatalytic Synthesis S M Glueck S F Mayer W Kroutil K Faber Enzyme-Triggered Asymmetric Cascade Reactions. Pure Appl. Chem 74 2002,,Advances in Biocatalytic Synthesis,2002
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,[5],b4,Nature-inspired enzymatic cascades to build valuable compounds Renata Sigrist Bruna Zucoloto Da Costa Anita Jocelyne Marsaioli Luciana Gonzaga De Oliveira 0000-0003-4484-0637 10.1016/j.biotechadv.2015.03.010 Biotechnology Advances Biotechnology Advances 0734-9750 33 5 2015 Elsevier BV,10.1016/j.biotechadv.2015.03.010,Nature-inspired enzymatic cascades to build valuable compounds,2015
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,[6],b5,Artificial Concurrent Catalytic Processes Involving Enzymes V Koḧler N J Turner Chem. Commun 51 2015,,Artificial Concurrent Catalytic Processes Involving Enzymes,2015
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,[7],b6,Cascade catalysis – strategies and challenges en route to preparative synthetic biology Jan Muschiol Christin Peters Nikolin Oberleitner Marko D Mihovilovic Uwe T Bornscheuer Florian Rudroff 10.1039/c4cc08752f Chemical Communications Chem. Commun. 1359-7345 1364-548X 51 27 2015 Royal Society of Chemistry (RSC),10.1039/c4cc08752f,Cascade catalysis – strategies and challenges en route to preparative synthetic biology,2015
17_Schrittwieser_2018_ChemRev,Introduction 271 1.1. Scope of Review and Definitions 271 1.2. History 271 1.…,[8],b7,Enzyme engineering in the context of novel pathways and products Konrad B Otte Bernhard Hauer 10.1016/j.copbio.2014.12.011 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 35 2015 Elsevier BV,10.1016/j.copbio.2014.12.011,Enzyme engineering in the context of novel pathways and products,2015
