review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[1],b1,Biobased chemicals: the convergence of green chemistry with industrial biotechnology Jim C Philp Rachael J Ritchie Jacqueline E M Allan 10.1016/j.tibtech.2012.12.007 Trends in Biotechnology Trends in Biotechnology 0167-7799 31 4 2013 Elsevier BV,10.1016/j.tibtech.2012.12.007,Biobased chemicals: the convergence of green chemistry with industrial biotechnology,2013
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[2],b2,Transformation of Biomass into Commodity Chemicals Using Enzymes or Cells Ajj Straathof 10.1021/cr400309c Chemical Reviews Chem. Rev. 0009-2665 1520-6890 114 3 2014 American Chemical Society (ACS),10.1021/cr400309c,Transformation of Biomass into Commodity Chemicals Using Enzymes or Cells,2014
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[3],b3,Biocatalysis in the Fine Chemical and Pharmaceutical Industries Peter W Sutton Joseph P Adams Ian Archer Daniel Auriol Manuela Avi Cecilia Branneby Andrew J Collis Bruno Dumas Thomas Eckrich Ian Fotheringham Rob Ter Halle Steven Hanlon Marvin Hansen K E Holt‐tiffin Roger M Howard Gjalt W Huisman Hans Iding Kurt Kiewel Matthias Kittelmann Ernst Kupfer Kurt Laumen Fabrice Lefèvre Stephan Luetz David P Mangan Van A Martin Hans‐peter Meyer Thomas S Moody Antonio Osorio‐lozada Karen Robins Radka Snajdrova Matthew D Truppo Andrew Wells Beat Wirz John W Wong 10.1002/9781119943426.ch1 Practical Methods for Biocatalysis and Biotransformations J Whittall P W Sutton Wiley 2012,10.1002/9781119943426.ch1,Biocatalysis in the Fine Chemical and Pharmaceutical Industries,2012
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[4],b4,Industrial applications of enzyme biocatalysis: Current status and future aspects Jung-Min Choi Sang-Soo Han Hak-Sung Kim 10.1016/j.biotechadv.2015.02.014 Biotechnology Advances Biotechnology Advances 0734-9750 33 7 2015 Elsevier BV,10.1016/j.biotechadv.2015.02.014,Industrial applications of enzyme biocatalysis: Current status and future aspects,2015
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[5],b5,Enzymatic and whole cell catalysis: Finding new strategies for old processes De Carvalho Cccr 10.1016/j.biotechadv.2010.09.001 Biotechnology Advances Biotechnology Advances 0734-9750 29 1 2011 Elsevier BV,10.1016/j.biotechadv.2010.09.001,Enzymatic and whole cell catalysis: Finding new strategies for old processes,2011
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,"[6,",b6,How Green is Biocatalysis? To Calculate is To Know Yan Ni Dirk Holtmann Frank Hollmann 10.1002/cctc.201300976 ChemCatChem ChemCatChem 1867-3880 1867-3899 6 4 2014 Wiley,10.1002/cctc.201300976,How Green is Biocatalysis? To Calculate is To Know,2014
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,7],b7,Advances in the process development of biocatalytic processes P Tufvesson J Lima-Ramos Al Haque N Gernaey K V Woodley J M Org Process Res Dev 17 2013,,Advances in the process development of biocatalytic processes,2013
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[8],b8,Advances in metabolic pathway and strain engineering paving the way for sustainable production of chemical building blocks Yun Chen Jens Nielsen 10.1016/j.copbio.2013.03.008 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 24 6 2013 Elsevier BV,10.1016/j.copbio.2013.03.008,Advances in metabolic pathway and strain engineering paving the way for sustainable production of chemical building blocks,2013
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[9],b9,The microbial cell — functional unit for energy dependent multistep biocatalysis Nadine Ladkau Andreas Schmid Bruno Bühler 10.1016/j.copbio.2014.06.003 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 30 2014 Elsevier BV,10.1016/j.copbio.2014.06.003,The microbial cell — functional unit for energy dependent multistep biocatalysis,2014
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[10],b10,Advancing metabolic engineering through systems biology of industrial microorganisms Zongjie Dai Jens Nielsen 0000-0002-9955-6003 10.1016/j.copbio.2015.08.006 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 36 2015 Elsevier BV,10.1016/j.copbio.2015.08.006,Advancing metabolic engineering through systems biology of industrial microorganisms,2015
18_Wachtmeister_2016_CurrOpinBiotechnol,Introduction,[11],b11,Biocatalysis with immobilized Escherichia coli P Zajkoska M Rebros M Rosenberg Appl Microbiol Biotechnol 97 2013,,Biocatalysis with immobilized Escherichia coli,2013
18_Wachtmeister_2016_CurrOpinBiotechnol,Catalyst costs,[12],b12,Guidelines and cost analysis for catalyst production in biocatalytic processes P Tufvesson J Lima-Ramos M Nordblad J M Woodley Org Process Res Dev 15 2011,,Guidelines and cost analysis for catalyst production in biocatalytic processes,2011
18_Wachtmeister_2016_CurrOpinBiotechnol,Cofactor regeneration,[13 ],b13,Strategies for Cofactor Regeneration in Biocatalyzed Reductions Selin Kara Joerg H Schrittwieser Frank Hollmann 10.1002/9783527665785.ch08 Synthetic Methods for Biologically Active Molecules: Exploring the Potential of Bioreductions Brenna E Wiley Wiley 2014,10.1002/9783527665785.ch08,Strategies for Cofactor Regeneration in Biocatalyzed Reductions,2013
