review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
19_Lin_2017_MicrobCellFact,Background,"[1,",b0,Transformation of biomass into commodity chemicals using enzymes or cells A J Straathof Chem Rev 114 2013,,Transformation of biomass into commodity chemicals using enzymes or cells,2013
19_Lin_2017_MicrobCellFact,Background,2],b1,Recent advances in whole cell biocatalysis techniques bridging from investigative to industrial scale J Wachtmeister D Rother Curr Opin Biotechnol 42 2016,,Recent advances in whole cell biocatalysis techniques bridging from investigative to industrial scale,2016
19_Lin_2017_MicrobCellFact,Background,"[3,",b2,Whole-cell biocatalysis for selective and productive C–O functional group introduction and modification Manfred Schrewe Mattijs K Julsing Bruno Bühler Andreas Schmid 10.1039/c3cs60011d Chemical Society Reviews Chem. Soc. Rev. 0306-0012 1460-4744 42 15 6346 2013 Royal Society of Chemistry (RSC),10.1039/c3cs60011d,Whole-cell biocatalysis for selective and productive C–O functional group introduction and modification,2013
19_Lin_2017_MicrobCellFact,Background,4],b3,Expanding the chemical palate of cells by combining systems biology and metabolic engineering K A Curran H S Alper Metab Eng 14 2012,,Expanding the chemical palate of cells by combining systems biology and metabolic engineering,2012
19_Lin_2017_MicrobCellFact,Background,[5],b4,T Johannes M R Simurdiak H Zhao Biocatalysis Encyclopedia of chemical processing 2006,,Encyclopedia of chemical processing,2006
19_Lin_2017_MicrobCellFact,Background,[6],b5,Microbial transformation of propenylbenzenes for natural flavour production Ping Xu Dongliang Hua Cuiqing Ma 10.1016/j.tibtech.2007.08.011 Trends in Biotechnology Trends in Biotechnology 0167-7799 25 12 2007 Elsevier BV,10.1016/j.tibtech.2007.08.011,Microbial transformation of propenylbenzenes for natural flavour production,2007
19_Lin_2017_MicrobCellFact,Background,[7],b6,Recent advances in biotechnological production of 2-phenylethanol D Hua P Xu Biotechnol Adv 29 2011,,Recent advances in biotechnological production of 2-phenylethanol,2011
19_Lin_2017_MicrobCellFact,Background,"[8,",b7,An aqueous–organic two-phase bioprocess for efficient production of the natural aroma chemicals 2-phenylethanol and 2-phenylethylacetate with yeast M M W Etschmann J Schrader 10.1007/s00253-005-0281-6 Applied Microbiology and Biotechnology Appl Microbiol Biotechnol 0175-7598 1432-0614 71 4 2006 Springer Science and Business Media LLC,10.1007/s00253-005-0281-6,An aqueous–organic two-phase bioprocess for efficient production of the natural aroma chemicals 2-phenylethanol and 2-phenylethylacetate with yeast,2006
19_Lin_2017_MicrobCellFact,Background,9],b8,Bioproduction of the aroma compound 2‐Phenylethanol in a solid–liquid two‐phase partitioning bioreactor system by <i>Kluyveromyces marxianus</i> Fang Gao Andrew J Daugulis 10.1002/bit.22387 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 104 2 2009 Wiley,10.1002/bit.22387,Bioproduction of the aroma compound 2‐Phenylethanol in a solid–liquid two‐phase partitioning bioreactor system by <i>Kluyveromyces marxianus</i>,2009
19_Lin_2017_MicrobCellFact,Background,[10],b9,Direct synthesis of 2-phenylethanol by hydrogenation of methyl phenylacetate using homogeneous rutheniumphosphine catalysis under low hydrogen pressure K Nomura H Ogura Y Imanishi J Mol Catal A Chem 166 2001,,Direct synthesis of 2-phenylethanol by hydrogenation of methyl phenylacetate using homogeneous rutheniumphosphine catalysis under low hydrogen pressure,2001
