review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
20_Buller_2023_Science,T,(1),b0,Engineering the third wave of biocatalysis U T Bornscheuer G W Huisman R J Kazlauskas S Lutz J C Moore K Robins 10.1038/nature11117 Nature Nature 0028-0836 1476-4687 485 7397 2012 Springer Science and Business Media LLC,10.1038/nature11117,Engineering the third wave of biocatalysis,2012
20_Buller_2023_Science,T,(2),b1,Engineering new catalytic activities in enzymes Kai Chen 0000-0002-3325-3536 Frances H Arnold 0000-0002-4027-364X 10.1038/s41929-019-0385-5 Nature Catalysis Nat Catal 2520-1158 3 3 2020 Springer Science and Business Media LLC,10.1038/s41929-019-0385-5,Engineering new catalytic activities in enzymes,2020
20_Buller_2023_Science,T,(3),b2,Biocatalysis Elizabeth L Bell 0000-0002-8247-743X William Finnigan 0000-0002-1061-7800 Scott P France 0000-0003-1679-6165 Anthony P Green Martin A Hayes 0000-0002-2640-8464 Lorna J Hepworth 0000-0003-2552-6861 Sarah L Lovelock 0000-0002-4584-3189 Haruka Niikura 0000-0001-6732-6978 Sílvia Osuna 0000-0003-3657-6469 Elvira Romero 0000-0003-4199-9458 Katherine S Ryan 0000-0003-1643-1940 Nicholas J Turner Sabine L Flitsch 0000-0003-3974-646X 10.1038/s43586-021-00044-z Nature Reviews Methods Primers Nat Rev Methods Primers 2662-8449 1 1 46 2021 Springer Science and Business Media LLC,10.1038/s43586-021-00044-z,Biocatalysis,2021
20_Buller_2023_Science,T,(4),b3,K Buchholz V Kasche U T Bornscheuer Biocatalysts and Enzyme Technology Wiley-Vch 2 2012,,Biocatalysts and Enzyme Technology,2012
20_Buller_2023_Science,T,(5),b4,A S Bommarius B R Riebel Biocatalysis 2004 Wiley-VCH,,,2004
20_Buller_2023_Science,Developing biocatalysts,(6),b5,New catalytic reactions by enzyme engineering Cindy Klaus 0000-0001-5977-1158 Stephan C Hammer 0000-0002-3620-9362 10.1016/j.trechm.2022.03.002 Trends in Chemistry Trends in Chemistry 2589-5974 4 5 2022 Elsevier BV,10.1016/j.trechm.2022.03.002,New catalytic reactions by enzyme engineering,2022
20_Buller_2023_Science,Developing biocatalysts,"(7,",b6,A communal catalogue reveals Earth’s multiscale microbial diversity Luke R Thompson Jon G Sanders Daniel Mcdonald Amnon Amir Joshua Ladau Kenneth J Locey Robert J Prill Anupriya Tripathi Sean M Gibbons Gail Ackermann Jose A Navas-Molina Stefan Janssen Evguenia Kopylova Yoshiki Vázquez-Baeza Antonio González James T Morton Siavash Mirarab Zhenjiang Zech Xu Lingjing Jiang Mohamed F Haroon Jad Kanbar Qiyun Zhu Se Jin Song Tomasz Kosciolek Nicholas A Bokulich Joshua Lefler Colin J Brislawn Gregory Humphrey Sarah M Owens Jarrad Hampton-Marcell Donna Berg-Lyons Valerie Mckenzie Noah Fierer Jed A Fuhrman Aaron Clauset Rick L Stevens Ashley Shade Katherine S Pollard Kelly D Goodwin Janet K Jansson Jack A Gilbert Rob Knight Jose L Agosto Rivera Lisa Al-Moosawi John Alverdy Katherine R Amato Jason Andras Largus T Angenent Dionysios A Antonopoulos Amy Apprill David Armitage Kate Ballantine Jirˇí Bárta Julia K Baum Allison Berry Ashish Bhatnagar Monica Bhatnagar Jennifer F Biddle Lucie Bittner Bazartseren Boldgiv Eric Bottos Donal M Boyer Josephine Braun William Brazelton Francis Q Brearley Alexandra H Campbell J Gregory Caporaso Cesar Cardona Jolynn Carroll S Craig Cary Brenda B Casper Trevor C Charles Haiyan Chu Danielle C Claar Robert G Clark Jonathan B Clayton Jose C Clemente Alyssa Cochran Maureen L Coleman Gavin Collins Rita R Colwell Mónica Contreras Benjamin B Crary Simon Creer Daniel A Cristol Byron C Crump Duoying Cui Sarah E Daly Liliana Davalos Russell D Dawson Jennifer Defazio Frédéric Delsuc Hebe M Dionisi Maria Gloria Dominguez-Bello Robin Dowell Eric A Dubinsky Peter O Dunn Danilo Ercolini Robert E Espinoza Vanessa Ezenwa Nathalie Fenner Helen S Findlay Irma D Fleming Vincenzo Fogliano Anna Forsman Chris Freeman Elliot S Friedman Giancarlo Galindo Liza Garcia Maria Alexandra Garcia-Amado David Garshelis Robin B Gasser Gunnar Gerdts Molly K Gibson Isaac Gifford Ryan T Gill Tugrul Giray Antje Gittel Peter Golyshin Donglai Gong Hans-Peter Grossart Kristina Guyton Sarah-Jane Haig Vanessa Hale Ross Stephen Hall Steven J Hallam Kim M Handley Nur A Hasan Shane R Haydon Jonathan E Hickman Glida Hidalgo Kirsten S Hofmockel Jeff Hooker Stefan Hulth Jenni Hultman Embriette Hyde Juan Diego Ibáñez-Álamo Julie D Jastrow Aaron R Jex L Scott Johnson Eric R Johnston Stephen Joseph Stephanie D Jurburg Diogo Jurelevicius Anders Karlsson Roger Karlsson Seth Kauppinen Colleen T E Kellogg Suzanne J Kennedy Lee J Kerkhof Gary M King George W Kling Anson V Koehler Monika Krezalek Jordan Kueneman Regina Lamendella Emily M Landon Kelly Lane-Degraaf Julie Laroche Peter Larsen Bonnie Laverock Simon Lax Miguel Lentino Iris I Levin Pierre Liancourt Wenju Liang Alexandra M Linz David A Lipson Yongqin Liu Manuel E Lladser Mariana Lozada Catherine M Spirito Walter P Maccormack Aurora Macrae-Crerar Magda Magris Antonio M Martín-Platero Manuel Martín-Vivaldi L Margarita Martínez Manuel Martínez-Bueno Ezequiel M Marzinelli Olivia U Mason Gregory D Mayer Jamie M Mcdevitt-Irwin James E Mcdonald Krista L Mcguire Katherine D Mcmahon Ryan Mcminds Mónica Medina Joseph R Mendelson Jessica L Metcalf Folker Meyer Fabian Michelangeli Kim Miller David A Mills Jeremiah Minich Stefano Mocali Lucas Moitinho-Silva Anni Moore Rachael M Morgan-Kiss Paul Munroe David Myrold Josh D Neufeld Yingying Ni Graeme W Nicol Shaun Nielsen Jozef I Nissimov Kefeng Niu Matthew J Nolan Karen Noyce Sarah L O’brien Noriko Okamoto Ludovic Orlando Yadira Ortiz Castellano Olayinka Osuolale Wyatt Oswald Jacob Parnell Juan M Peralta-Sánchez Peter Petraitis Catherine Pfister Elizabeth Pilon-Smits Paola Piombino Stephen B Pointing F Joseph Pollock Caitlin Potter Bharath Prithiviraj Christopher Quince Asha Rani Ravi Ranjan Subramanya Rao Andrew P Rees Miles Richardson Ulf Riebesell Carol Robinson Karl J Rockne Selena Marie Rodriguezl Forest Rohwer Wayne Roundstone Rebecca J Safran Naseer Sangwan Virginia Sanz Matthew Schrenk Mark D Schrenzel Nicole M Scott Rita L Seger Andaine Seguin-Orlando Lucy Seldin Lauren M Seyler Baddr Shakhsheer Gabriela M Sheets Congcong Shen Yu Shi Hakdong Shin Benjamin D Shogan Dave Shutler Jeffrey Siegel Steve Simmons Sara Sjöling Daniel P Smith Juan J Soler Martin Sperling Peter D Steinberg Brent Stephens Melita A Stevens Safiyh Taghavi Vera Tai Karen Tait Chia L Tan Neslihan Tas¸ D Lee Taylor Torsten Thomas Ina Timling Benjamin L Turner Tim Urich Luke K Ursell Daniel Van Der Lelie William Van Treuren Lukas Van Zwieten Daniela Vargas-Robles Rebecca Vega Thurber Paola Vitaglione Donald A Walker William A Walters Shi Wang Tao Wang Tom Weaver Nicole S Webster Beck Wehrle Pamela Weisenhorn Sophie Weiss Jeffrey J Werner Kristin West Andrew Whitehead Susan R Whitehead Linda A Whittingham Eske Willerslev Allison E Williams Stephen A Wood Douglas C Woodhams Yeqin Yang Jesse Zaneveld Iratxe Zarraonaindia Qikun Zhang Hongxia Zhao 10.1038/nature24621 Nature Nature 0028-0836 1476-4687 551 7681 2017 Springer Science and Business Media LLC,10.1038/nature24621,A communal catalogue reveals Earth’s multiscale microbial diversity,2017
20_Buller_2023_Science,Developing biocatalysts,8),b7,Earth BioGenome Project: Sequencing life for the future of life Harris A Lewin Gene E Robinson W John Kress William J Baker Jonathan Coddington Keith A Crandall 0000-0002-0836-3389 Richard Durbin Scott V Edwards 0000-0003-2535-6217 Félix Forest M Thomas P Gilbert Melissa M Goldstein Igor V Grigoriev Kevin J Hackett David Haussler Erich D Jarvis Warren E Johnson Aristides Patrinos Stephen Richards Juan Carlos Castilla-Rubio Marie-Anne Van Sluys Pamela S Soltis Xun Xu Huanming Yang Guojie Zhang 10.1073/pnas.1720115115 Proceedings of the National Academy of Sciences Proc. Natl. Acad. Sci. U.S.A. 0027-8424 1091-6490 115 17 2018 Proceedings of the National Academy of Sciences,10.1073/pnas.1720115115,Earth BioGenome Project: Sequencing life for the future of life,2018
20_Buller_2023_Science,Developing biocatalysts,(11),b10,Clustering huge protein sequence sets in linear time Martin Steinegger 0000-0001-8781-9753 Johannes Söding 0000-0001-9642-8244 10.1038/s41467-018-04964-5 Nature Communications Nat Commun 2041-1723 9 1 2542 2018 Springer Science and Business Media LLC,10.1038/s41467-018-04964-5,Clustering huge protein sequence sets in linear time,2018
20_Buller_2023_Science,Developing biocatalysts,(12),b11,Enzyme Function Initiative-Enzyme Similarity Tool (EFI-EST): A web tool for generating protein sequence similarity networks John A Gerlt Jason T Bouvier Daniel B Davidson Heidi J Imker 0000-0003-4748-7453 Boris Sadkhin David R Slater Katie L Whalen 10.1016/j.bbapap.2015.04.015 Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics 1570-9639 1854 8 2015 Elsevier BV,10.1016/j.bbapap.2015.04.015,Enzyme Function Initiative-Enzyme Similarity Tool (EFI-EST): A web tool for generating protein sequence similarity networks,2015
