review_id,Biocatalyst Formats & Cellular Context,Cascade & Route Design,Cofactor & Energy Management,Design & Engineering,Discovery & Sourcing of Biocatalysts,Immobilization & Materials,Media & Microenvironment,Reaction Space & Enzyme Portfolios,"Reactors, Flow & In-Line Operations","Sustainability, Metrics & Industrialization"
01_Bornscheuer_2012_Nature,2,3,2,29,3,2,0,4,0,26
02_Sheldon_2018_ChemRev,5,24,6,11,0,71,65,12,34,26
03_Bell_2021_NatRevMethodsPrimers,7,43,0,48,14,0,0,7,18,36
04_Winkler_2021_ACSCentSci,4,8,19,19,0,31,4,15,1,11
05_Reetz_2013_JACS,0,1,1,17,0,2,1,6,1,0
06_Arnold_2018_ACIE,0,0,1,3,0,0,9,0,0,0
07_Turner_2009_NatChemBiol,0,0,0,67,0,18,0,7,0,1
08_Schmid_2001_Nature,28,0,14,4,0,6,20,1,3,4
09_Bommarius_2015_AnnuRevChemBiomolEng,4,2,29,28,0,0,9,23,1,2
10_Yi_2021_ChemSocRev,8,20,4,98,4,2,1,13,1,6
11_Hanefeld_2022_ChemSocRev,29,9,55,3,0,1,8,14,3,3
12_Carrea_2000_ACIE,0,2,0,1,0,3,41,14,3,0
13_Sheldon_2007_ChemRev,0,0,0,1,0,0,80,2,0,1
14_Mateo_2007_BiotechnolAdv,0,0,0,0,0,158,2,1,0,1
15_Sheldon_2013_ChemSocRev,1,2,0,1,0,15,2,1,10,0
16_Britton_2018_ChemSocRev,2,1,4,0,0,13,1,2,37,2
17_Schrittwieser_2018_ChemRev,53,51,107,2,2,73,3,83,16,0
18_Wachtmeister_2016_CurrOpinBiotechnol,10,2,26,0,0,10,26,0,2,0
19_Lin_2017_MicrobCellFact,18,24,30,1,1,0,0,0,0,3
20_Buller_2023_Science,3,11,8,28,13,7,1,5,1,1
