key,pillar_num,pillar,method,confidence,doi,title,year,raw_citation,cited_by_reviews,authors,journal
10.1093/nar/gkh793,1,Discovery & Sourcing of Biocatalysts,section_only,0.546,10.1093/nar/gkh793,Amplification and assembly of chip-eluted DNA (AACED): a method for high-throughput gene synthesis,2004.0,Amplification and assembly of chip-eluted DNA (AACED): a method for high-throughput gene synthesis K E Richmond 10.1093/nar/gkh793 Nucleic Acids Research Nucleic Acids Research 1362-4962 32 17 2004 Oxford University Press (OUP),01_Bornscheuer_2012_Nature,['K. E. Richmond'],Nucleic Acids Research
metagenomics and industrial applications p lorenz j eck nature rev. microbiol 3 2005,1,Discovery & Sourcing of Biocatalysts,consensus,0.598,,Metagenomics and industrial applications,2005.0,Metagenomics and industrial applications P Lorenz J Eck Nature Rev. Microbiol 3 2005,01_Bornscheuer_2012_Nature,[],Nature Rev. Microbiol
creation of a bacterial cell controlled by a chemically synthesized genome d g gibson science 329 2010,1,Discovery & Sourcing of Biocatalysts,section_only,0.546,,Creation of a bacterial cell controlled by a chemically synthesized genome,2010.0,Creation of a bacterial cell controlled by a chemically synthesized genome D G Gibson Science 329 2010,01_Bornscheuer_2012_Nature,[],Science
high-resolution mapping of protein sequence-function relationships d m fowler nature methods 7 2010,1,Discovery & Sourcing of Biocatalysts,section_only,0.546,,High-resolution mapping of protein sequence-function relationships,2010.0,High-resolution mapping of protein sequence-function relationships D M Fowler Nature Methods 7 2010,01_Bornscheuer_2012_Nature,[],Nature Methods
biocatalysts and small molecule products from metagenomic studies h a iqbal z feng s f brady curr. opin. chem. biol 16 2012,1,Discovery & Sourcing of Biocatalysts,union_strong,1.0,,Biocatalysts and small molecule products from metagenomic studies,2012.0,Biocatalysts and small molecule products from metagenomic studies H A Iqbal Z Feng S F Brady Curr. Opin. Chem. Biol 16 2012,03_Bell_2021_NatRevMethodsPrimers,[],Curr. Opin. Chem. Biol
10.1128/aem.06725-11,1,Discovery & Sourcing of Biocatalysts,paper_only,0.65,10.1128/aem.06725-11,Isolation of a Novel Cutinase Homolog with Polyethylene Terephthalate-Degrading Activity from Leaf-Branch Compost by Using a Metagenomic Approach,2012.0,Isolation of a Novel Cutinase Homolog with Polyethylene Terephthalate-Degrading Activity from Leaf-Branch Compost by Using a Metagenomic Approach Sintawee Sulaiman Saya Yamato Eiko Kanaya Joong-Jae Kim Yuichi Koga Kazufumi Takano Shigenori Kanaya 10.1128/aem.06725-11 Applied and Environmental Microbiology Appl Environ Microbiol 0099-2240 1098-5336 78 5 2012 American Society for Microbiology pmid,20_Buller_2023_Science,"['Sintawee Sulaiman', 'Shigenori Kanaya']",Applied and Environmental Microbiology
ultrahigh-throughput discovery of promiscuous enzymes by picodroplet functional metagenomics p y colin nat. commun 6 2015,1,Discovery & Sourcing of Biocatalysts,union_strong,1.0,,Ultrahigh-throughput discovery of promiscuous enzymes by picodroplet functional metagenomics,2015.0,Ultrahigh-throughput discovery of promiscuous enzymes by picodroplet functional metagenomics P Y Colin Nat. Commun 6 2015,03_Bell_2021_NatRevMethodsPrimers,[],Nat. Commun
10.1038/ncomms10008,1,Discovery & Sourcing of Biocatalysts,paper_only,0.699,10.1038/ncomms10008,Ultrahigh-throughput discovery of promiscuous enzymes by picodroplet functional metagenomics,2015.0,"Ultrahigh-throughput discovery of promiscuous enzymes by picodroplet functional metagenomics Pierre-Yves Colin Balint Kintses Fabrice Gielen Charlotte M Miton Gerhard Fischer Mark F Mohamed Marko Hyvönen Diego P Morgavi 0000-0002-3883-0937 Dick B Janssen Florian Hollfelder 0000-0002-1367-6312 10.1038/ncomms10008 Nature Communications Nat Commun 2041-1723 6 1 2015, 6, 10008 Springer Science and Business Media LLC",10_Yi_2021_ChemSocRev,"['Pierre-Yves Colin', 'Florian Hollfelder']",Nature Communications
10.1002/cbic.201600462,1,Discovery & Sourcing of Biocatalysts,section_only,1.0,10.1002/cbic.201600462,BioCatNet: A Database System for the Integration of Enzyme Sequences and Biocatalytic Experiments,2016.0,BioCatNet: A Database System for the Integration of Enzyme Sequences and Biocatalytic Experiments Patrick C F Buchholz Constantin Vogel Waldemar Reusch Martina Pohl Dörte Rother Antje C Spieß Jürgen Pleiss 10.1002/cbic.201600462 ChemBioChem ChemBioChem 1439-4227 1439-7633 17 21 2016 Wiley,03_Bell_2021_NatRevMethodsPrimers,"['Patrick C. F. Buchholz', 'Jürgen Pleiss']",ChemBioChem
a metagenomics approach for new biocatalyst discovery: application to transaminases and the synthesis of allylic amines d baud j w e jeffries t s moody j m ward h c hailes green. chem 19 2017,1,Discovery & Sourcing of Biocatalysts,consensus,1.0,,A metagenomics approach for new biocatalyst discovery: application to transaminases and the synthesis of allylic amines,2017.0,A metagenomics approach for new biocatalyst discovery: application to transaminases and the synthesis of allylic amines D Baud J W E Jeffries T S Moody J M Ward H C Hailes Green. Chem 19 2017,03_Bell_2021_NatRevMethodsPrimers,[],Green. Chem
