key,doi,title,year,journal,primary_pillar,best_method,confidence,all_pillars,methods_present,cited_by_reviews,rule_hits
-hydroxyethyl) ammonium lactates-highly biodegradable and essentially non-toxic ionic liquids s pavlovica a zicmanis e gzibovska m klavins p mekss 2011 green sustainable chem 1,,-Hydroxyethyl) ammonium lactates-Highly biodegradable and essentially non-toxic ionic liquids,2011.0,-Hydroxyethyl) ammonium lactates-Highly biodegradable and essentially non-toxic ionic liquids,Media & Microenvironment,paper_only,1.0,Media & Microenvironment,paper_only,02_Sheldon_2018_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1002/(sici)1097-0290(19961020)52:2<290::aid-bit8>3.0.co;2-l,10.1002/(sici)1097-0290(19961020)52:2<290::aid-bit8>3.0.co;2-l,Chemical versus biochemical conversion: When and how to use biocatalysts,1996.0,Biotechnology and Bioengineering,Immobilization & Materials,section_only,1.0,Immobilization & Materials,section_only,08_Schmid_2001_Nature,
10.1002/(sici)1097-0290(19961020)52:2<301::aid-bit10>3.0.co;2-m,10.1002/(sici)1097-0290(19961020)52:2<301::aid-bit10>3.0.co;2-m,Biosynthesis of synthons in two-liquid-phase media,1996.0,Biotechnology and Bioengineering,Biocatalyst Formats & Cellular Context,section_priority,1.0,Biocatalyst Formats & Cellular Context,section_priority,08_Schmid_2001_Nature,P4:\btwo[- ]liquid[- ]phase\b|\bbiphasic\b|\bmicro[- ]aqueous\b|\bpartition(ing)?\b; P7:\b(retro)?biosynthesis\b|\bCASP\b|\bpathway design\b|\broute scouting\b
10.1002/(sici)1097-0290(19980820)59:4<495::aid-bit12>3.0.co;2-9,10.1002/(sici)1097-0290(19980820)59:4<495::aid-bit12>3.0.co;2-9,Large-scale preparation of (Z)-3-hexen-1-yl acetate usingCandida antarctica-immobilized lipase in hexane,1998.0,Biotechnology and Bioengineering,Immobilization & Materials,paper_only,0.591,Immobilization & Materials,paper_only,12_Carrea_2000_ACIE,P5:\bimmobiliz\w*|\breus(e|ability)\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1002/(sici)1097-0290(19981005)60:1<10::aid-bit2>3.0.co;2-3,10.1002/(sici)1097-0290(19981005)60:1<10::aid-bit2>3.0.co;2-3,"Medium chain length alkane solvent-cell transfer rates in two-liquid phase,Pseudomonas oleovorans cultures",1998.0,Biotechnology and Bioengineering,Biocatalyst Formats & Cellular Context,section_priority,1.0,Biocatalyst Formats & Cellular Context,section_priority,08_Schmid_2001_Nature,P4:\btwo[- ]liquid[- ]phase\b|\bbiphasic\b|\bmicro[- ]aqueous\b|\bpartition(ing)?\b
10.1002/(sici)1097-0290(19990320)62:6<641::aid-bit3>3.0.co;2-h,10.1002/(sici)1097-0290(19990320)62:6<641::aid-bit3>3.0.co;2-h,An integrated process for the production of toxic catechols from toxic phenols based on a designer biocatalyst,1999.0,Biotechnology and Bioengineering,Biocatalyst Formats & Cellular Context,section_only,1.0,Biocatalyst Formats & Cellular Context,section_only,08_Schmid_2001_Nature,
10.1002/1099-1395(200010)13:10<591::aid-poc305>3.0.co;2-2,10.1002/1099-1395(200010)13:10<591::aid-poc305>3.0.co;2-2,"Polarity study of some 1-alkyl-3-methylimidazolium ambient-temperature ionic liquids with the solvatochromic dye, Nile Red",2000.0,Journal of Physical Organic Chemistry,Media & Microenvironment,consensus,1.0,Media & Microenvironment,consensus,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1002/1439-7633(20020402)3:4<348::aid-cbic348>3.0.co;2-k,10.1002/1439-7633(20020402)3:4<348::aid-cbic348>3.0.co;2-k,Combined Biosynthetic Pathway For De Novo Production of UDP-Galactose: Catalysis with Multiple Enzymes Immobilized on Agarose Beads,2002.0,ChemBioChem,Immobilization & Materials,paper_only,1.0,Immobilization & Materials,paper_only,17_Schrittwieser_2018_ChemRev,P5:\bimmobiliz\w*|\breus(e|ability)\b; P5:\bcarrier\b|\bsupport\b|\bresin\b|\bbeads?\b|\bagarose\b|\bglyoxyl\b|\bepoxy\b|\bboronic\b|\baldehyde[- ]activated\b
10.1002/3527607544,10.1002/3527607544,Hydrolases in Organic Synthesis,2006.0,Hydrolases in Organic Synthesis,"Sustainability, Metrics & Industrialization",section_only,0.61,"Sustainability, Metrics & Industrialization",section_only,01_Bornscheuer_2012_Nature;04_Winkler_2021_ACSCentSci,
10.1002/3527608184,10.1002/3527608184,Industrial Biotransformations,2006.0,Industrial Biotransformations,"Sustainability, Metrics & Industrialization",paper_only,1.0,"Sustainability, Metrics & Industrialization",paper_only,09_Bommarius_2015_AnnuRevChemBiomolEng,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/9780470988305.ch4,10.1002/9780470988305.ch4,Green Chemistry and Sustainable Development,2002.0,Green Chemistry and Sustainable Development,Immobilization & Materials,section_priority,1.0,Immobilization & Materials,section_priority,02_Sheldon_2018_ChemRev,P10:\bPMI\b|\bprocess mass intensity\b|\bE[- ]?factor\b|\batom economy\b|\bgreen (chemistry|metrics)\b
10.1002/9781118028308,10.1002/9781118028308,Biocatalysis for Green Chemistry and Chemical Process Development,2011.0,Biocatalysis for Green Chemistry and Chemical Process Development,"Sustainability, Metrics & Industrialization",paper_only,1.0,"Sustainability, Metrics & Industrialization",paper_only,02_Sheldon_2018_ChemRev,P10:\bPMI\b|\bprocess mass intensity\b|\bE[- ]?factor\b|\batom economy\b|\bgreen (chemistry|metrics)\b
10.1002/9781118158753.ch3,10.1002/9781118158753.ch3,Ionic Liquids in Biotransformations: Motivation and Development,2012.0,Biotransformations in Ionic Liquid Media 2769,Media & Microenvironment,paper_only,1.0,Media & Microenvironment,paper_only,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1002/9781118828083.ch1,10.1002/9781118828083.ch1,Biocatalysis and Green Chemistry,2016.0,Biocatalysis and Green Chemistry,"Sustainability, Metrics & Industrialization",consensus,1.0,"Sustainability, Metrics & Industrialization",consensus,03_Bell_2021_NatRevMethodsPrimers,P10:\bPMI\b|\bprocess mass intensity\b|\bE[- ]?factor\b|\batom economy\b|\bgreen (chemistry|metrics)\b
10.1002/9781118828083.ch25,10.1002/9781118828083.ch25,Hydroxynitrile Lyases for Biocatalytic Synthesis of Chiral Cyanohydrins,2016.0,Hydroxynitrile Lyases for Biocatalytic Synthesis of Chiral Cyanohydrins,Cofactor & Energy Management,section_only,1.0,Cofactor & Energy Management,section_only,11_Hanefeld_2022_ChemSocRev,
10.1002/9781119943426.ch1,10.1002/9781119943426.ch1,Biocatalysis in the Fine Chemical and Pharmaceutical Industries,2012.0,Practical Methods for Biocatalysis and Biotransformations,Cofactor & Energy Management,section_only,1.0,Cofactor & Energy Management,section_only,18_Wachtmeister_2016_CurrOpinBiotechnol,
10.1002/9783527621729.ch8,10.1002/9783527621729.ch8,Biocatalysis in Biphasic Systems: General,2008.0,Organic Synthesis with Enzymes in Non-Aqueous Media,Media & Microenvironment,consensus,1.0,Media & Microenvironment,consensus,18_Wachtmeister_2016_CurrOpinBiotechnol,P4:\btwo[- ]liquid[- ]phase\b|\bbiphasic\b|\bmicro[- ]aqueous\b|\bpartition(ing)?\b
10.1002/9783527623389.ch6,10.1002/9783527623389.ch6,Enzyme‐Catalyzed Cascade Reactions,2008.0,Multi-Step Enzyme Catalysis,Cascade & Route Design,paper_only,1.0,Cascade & Route Design,paper_only,02_Sheldon_2018_ChemRev,P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b
